_id,省,新增确诊,累计确诊,死亡,治愈,死亡率,治愈率
1,香港,21,4755,81,4200,1.70,88.33
2,新疆,0,902,3,806,0.33,89.36
3,上海,3,891,7,819,0.79,91.92
4,四川,4,648,3,620,0.46,95.68
5,山东,0,831,7,802,0.84,96.51
6,台湾,0,487,7,462,1.44,94.87
7,河北,0,362,6,343,1.66,94.75
8,广东,1,1735,8,1715,0.46,98.85
9,天津,0,220,3,205,1.36,93.18
10,福建,1,376,1,366,0.27,97.34
11,江苏,0,665,0,657,0.00,98.80
12,浙江,0,1277,1,1268,0.08,99.30
13,陕西,0,364,3,353,0.82,96.98
14,云南,0,199,2,191,1.01,95.98
15,辽宁,0,262,2,256,0.76,97.71
16,内蒙古,0,260,1,257,0.38,98.85
17,湖北,0,68139,4512,63626,6.62,93.38
18,山西,0,202,0,201,0.00,99.50
19,黑龙江,0,948,13,934,1.37,98.52
20,澳门,0,46,0,46,0.00,100.00
21,甘肃,0,169,2,167,1.18,98.82
22,青海,0,18,0,18,0.00,100.00
23,北京,0,935,9,926,0.96,99.04
24,宁夏,0,75,0,75,0.00,100.00
25,江西,0,935,1,934,0.11,99.89
26,贵州,0,147,2,145,1.36,98.64
27,海南,0,171,6,165,3.51,96.49
28,重庆,0,583,6,577,1.03,98.97
29,河南,0,1276,22,1254,1.72,98.28
30,广西,0,255,2,253,0.78,99.22
31,吉林,0,157,2,155,1.27,98.73
32,安徽,0,991,6,985,0.61,99.39
33,湖南,0,1019,4,1015,0.39,99.61
34,西藏,0,1,0,1,0.00,100.00
