_id,省,新增确诊,累计确诊,死亡,治愈,死亡率,治愈率
1,北京,11,874,9,585,1.03,66.93
2,香港,14,1193,7,1088,0.59,91.20
3,上海,2,705,7,672,0.99,95.32
4,甘肃,0,161,2,139,1.24,86.34
5,河北,0,349,6,324,1.72,92.84
6,四川,0,589,3,575,0.51,97.62
7,陕西,0,319,3,307,0.94,96.24
8,广东,0,1635,8,1621,0.49,99.14
9,台湾,1,447,7,435,1.57,97.32
10,福建,0,363,1,357,0.28,98.35
11,辽宁,0,154,2,147,1.30,95.45
12,重庆,0,582,6,573,1.03,98.45
13,天津,0,198,3,193,1.52,97.47
14,澳门,1,46,0,45,0.00,97.83
15,江苏,0,654,0,653,0.00,99.85
16,内蒙古,0,238,1,236,0.42,99.16
17,浙江,0,1269,1,1267,0.08,99.84
18,新疆,0,76,3,73,3.95,96.05
19,河南,0,1276,22,1254,1.72,98.28
20,贵州,0,147,2,145,1.36,98.64
21,西藏,0,1,0,1,0.00,100.00
22,安徽,0,991,6,985,0.61,99.39
23,广西,0,254,2,252,0.79,99.21
24,海南,0,171,6,165,3.51,96.49
25,吉林,0,155,2,153,1.29,98.71
26,云南,0,185,2,183,1.08,98.92
27,宁夏,0,75,0,75,0.00,100.00
28,江西,0,932,1,931,0.11,99.89
29,山东,0,792,7,785,0.88,99.12
30,湖南,0,1019,4,1015,0.39,99.61
31,青海,0,18,0,18,0.00,100.00
32,湖北,0,68135,4512,63623,6.62,93.38
33,黑龙江,0,947,13,934,1.37,98.63
34,山西,0,198,0,198,0.00,100.00
