_id,省,新增确诊,累计确诊,死亡,治愈,死亡率,治愈率
1,湖北,5,67786,3062,51553,4.52,76.05
2,广东,0,1356,8,1296,0.59,95.58
3,河南,0,1273,22,1249,1.73,98.11
4,浙江,0,1215,1,1209,0.08,99.51
5,湖南,0,1018,4,1004,0.39,98.62
6,安徽,0,990,6,984,0.61,99.39
7,江西,0,935,1,934,0.11,99.89
8,山东,0,760,7,739,0.92,97.24
9,江苏,0,631,0,630,0.00,99.84
10,重庆,0,576,6,564,1.04,97.92
11,四川,0,539,3,500,0.56,92.76
12,黑龙江,0,482,13,446,2.70,92.53
13,北京,1,436,8,342,1.83,78.44
14,上海,2,346,3,324,0.87,93.64
15,河北,0,318,6,310,1.89,97.48
16,福建,0,296,1,295,0.34,99.66
17,广西,0,252,2,243,0.79,96.43
18,陕西,0,245,2,232,0.82,94.69
19,云南,0,174,2,170,1.15,97.70
20,海南,0,168,6,160,3.57,95.24
21,贵州,0,146,2,140,1.37,95.89
22,天津,0,136,3,132,2.21,97.06
23,香港,5,134,4,75,2.99,55.97
24,山西,0,133,0,132,0.00,99.25
25,甘肃,0,127,2,88,1.57,69.29
26,辽宁,0,125,1,112,0.80,89.60
27,吉林,0,93,1,91,1.08,97.85
28,新疆,0,76,3,73,3.95,96.05
29,内蒙古,0,75,1,71,1.33,94.67
30,宁夏,0,75,0,72,0.00,96.00
31,台湾,2,50,1,20,2.00,40.00
32,青海,0,18,0,18,0.00,100.00
33,澳门,0,10,0,10,0.00,100.00
34,西藏,0,1,0,1,0.00,100.00
