_id,省,新增确诊,累计确诊,死亡,治愈,死亡率,治愈率
1,香港,0,1021,4,532,0.39,52.11
2,黑龙江,20,892,13,472,1.46,52.91
3,台湾,0,395,6,166,1.52,42.03
4,湖北,0,68128,4512,63494,6.62,93.20
5,上海,0,628,7,512,1.11,81.53
6,广东,2,1579,8,1482,0.51,93.86
7,内蒙古,0,193,1,104,0.52,53.89
8,北京,0,593,8,509,1.35,85.83
9,山西,0,197,0,135,0.00,68.53
10,澳门,0,45,0,17,0.00,37.78
11,浙江,0,1268,1,1246,0.08,98.26
12,福建,1,355,1,336,0.28,94.65
13,山东,0,787,7,765,0.89,97.20
14,天津,3,189,3,173,1.59,91.53
15,江苏,0,653,0,643,0.00,98.47
16,河北,0,328,6,316,1.83,96.34
17,云南,0,184,2,177,1.09,96.20
18,四川,1,561,3,553,0.53,98.57
19,吉林,0,102,1,97,0.98,95.10
20,重庆,0,579,6,570,1.04,98.45
21,辽宁,0,146,2,142,1.37,97.26
22,贵州,0,147,2,144,1.36,97.96
23,安徽,0,991,6,984,0.61,99.29
24,陕西,0,256,3,252,1.17,98.44
25,青海,0,18,0,18,0.00,100.00
26,甘肃,0,139,2,137,1.44,98.56
27,西藏,0,1,0,1,0.00,100.00
28,新疆,0,76,3,73,3.95,96.05
29,湖南,0,1019,4,1015,0.39,99.61
30,江西,0,937,1,936,0.11,99.89
31,海南,0,168,6,162,3.57,96.43
32,河南,0,1276,22,1254,1.72,98.28
33,广西,0,254,2,252,0.79,99.21
34,宁夏,0,75,0,75,0.00,100.00
