_id,省,新增确诊,累计确诊,死亡,治愈,死亡率,治愈率
1,台湾,0,440,7,395,1.59,89.77
2,香港,3,1055,4,1024,0.38,97.06
3,吉林,2,146,2,122,1.37,83.56
4,上海,1,666,7,641,1.05,96.25
5,内蒙古,4,213,1,196,0.47,92.02
6,北京,0,593,9,578,1.52,97.47
7,湖北,0,68134,4512,63616,6.62,93.37
8,陕西,0,308,3,301,0.97,97.73
9,辽宁,0,149,2,144,1.34,96.64
10,广东,0,1590,8,1579,0.50,99.31
11,天津,0,192,3,187,1.56,97.40
12,山东,0,788,7,780,0.89,98.98
13,澳门,0,45,0,44,0.00,97.78
14,海南,0,169,6,162,3.55,95.86
15,黑龙江,0,945,13,932,1.38,98.62
16,青海,0,18,0,18,0.00,100.00
17,广西,0,254,2,252,0.79,99.21
18,福建,0,356,1,355,0.28,99.72
19,河北,0,328,6,322,1.83,98.17
20,四川,0,561,3,558,0.53,99.47
21,浙江,0,1268,1,1267,0.08,99.92
22,甘肃,0,139,2,137,1.44,98.56
23,新疆,0,76,3,73,3.95,96.05
24,山西,0,198,0,198,0.00,100.00
25,江苏,0,653,0,653,0.00,100.00
26,重庆,0,579,6,573,1.04,98.96
27,河南,0,1276,22,1254,1.72,98.28
28,宁夏,0,75,0,75,0.00,100.00
29,安徽,0,991,6,985,0.61,99.39
30,江西,0,937,1,936,0.11,99.89
31,湖南,0,1019,4,1015,0.39,99.61
32,西藏,0,1,0,1,0.00,100.00
33,贵州,0,147,2,145,1.36,98.64
34,云南,0,185,2,183,1.08,98.92
