_id,省,新增确诊,累计确诊,死亡,治愈,死亡率,治愈率
1,湖北,4,67798,3099,55094,4.57,81.26
2,广东,4,1361,8,1306,0.59,95.96
3,河南,0,1273,22,1250,1.73,98.19
4,浙江,0,1231,1,1213,0.08,98.54
5,湖南,0,1018,4,1014,0.39,99.61
6,安徽,0,990,6,984,0.61,99.39
7,江西,0,935,1,934,0.11,99.89
8,山东,0,760,7,743,0.92,97.76
9,江苏,0,631,0,631,0.00,100.00
10,重庆,0,576,6,570,1.04,98.96
11,四川,0,539,3,516,0.56,95.73
12,黑龙江,0,482,13,454,2.70,94.19
13,北京,4,446,8,358,1.79,80.27
14,上海,2,355,3,325,0.85,91.55
15,河北,0,318,6,310,1.89,97.48
16,福建,0,296,1,295,0.34,99.66
17,广西,0,252,2,247,0.79,98.02
18,陕西,0,245,2,232,0.82,94.69
19,云南,1,175,2,172,1.14,98.29
20,海南,0,168,6,160,3.57,95.24
21,香港,7,148,4,84,2.70,56.76
22,贵州,0,146,2,143,1.37,97.95
23,天津,0,136,3,133,2.21,97.79
24,甘肃,1,133,2,91,1.50,68.42
25,山西,0,133,0,133,0.00,100.00
26,辽宁,0,125,1,114,0.80,91.20
27,吉林,0,93,1,92,1.08,98.92
28,新疆,0,76,3,73,3.95,96.05
29,宁夏,0,75,0,73,0.00,97.33
30,内蒙古,0,75,1,71,1.33,94.67
31,台湾,0,59,1,20,1.69,33.90
32,青海,0,18,0,18,0.00,100.00
33,澳门,1,11,0,10,0.00,90.91
34,西藏,0,1,0,1,0.00,100.00
