_id,省,新增确诊,累计确诊,死亡,治愈,死亡率,治愈率
1,北京,2,928,9,595,0.97,64.12
2,香港,11,1258,7,1145,0.56,91.02
3,上海,1,716,7,681,0.98,95.11
4,四川,1,596,3,581,0.50,97.48
5,甘肃,3,167,2,154,1.20,92.22
6,陕西,0,320,3,311,0.94,97.19
7,河北,0,349,6,337,1.72,96.56
8,台湾,0,449,7,438,1.56,97.55
9,广东,0,1643,8,1631,0.49,99.27
10,辽宁,0,156,2,150,1.28,96.15
11,重庆,0,582,6,574,1.03,98.63
12,天津,1,199,3,194,1.51,97.49
13,福建,0,363,1,360,0.28,99.17
14,澳门,0,46,0,45,0.00,97.83
15,云南,0,186,2,183,1.08,98.39
16,江苏,0,654,0,653,0.00,99.85
17,浙江,0,1269,1,1267,0.08,99.84
18,青海,0,18,0,18,0.00,100.00
19,湖北,0,68135,4512,63623,6.62,93.38
20,内蒙古,0,238,1,237,0.42,99.58
21,海南,0,171,6,165,3.51,96.49
22,吉林,0,155,2,153,1.29,98.71
23,广西,0,254,2,252,0.79,99.21
24,新疆,0,76,3,73,3.95,96.05
25,安徽,0,991,6,985,0.61,99.39
26,河南,0,1276,22,1254,1.72,98.28
27,湖南,0,1019,4,1015,0.39,99.61
28,黑龙江,0,947,13,934,1.37,98.63
29,江西,0,932,1,931,0.11,99.89
30,宁夏,0,75,0,75,0.00,100.00
31,贵州,0,147,2,145,1.36,98.64
32,山东,0,792,7,785,0.88,99.12
33,西藏,0,1,0,1,0.00,100.00
34,山西,0,198,0,198,0.00,100.00
