_id,省,新增确诊,累计确诊,死亡,治愈,死亡率,治愈率
1,湖北,1,67802,3193,63326,4.71,93.40
2,香港,32,714,4,128,0.56,17.93
3,台湾,24,322,5,39,1.55,12.11
4,上海,7,516,6,341,1.16,66.09
5,北京,0,580,8,418,1.38,72.07
6,广东,0,1494,8,1356,0.54,90.76
7,福建,0,343,1,295,0.29,86.01
8,天津,2,176,3,135,1.70,76.70
9,内蒙古,0,107,1,74,0.93,69.16
10,澳门,3,41,0,10,0.00,24.39
11,浙江,0,1257,1,1226,0.08,97.53
12,江苏,0,646,0,631,0.00,97.68
13,山东,0,774,7,753,0.90,97.29
14,辽宁,1,140,2,124,1.43,88.57
15,四川,2,552,3,536,0.54,97.10
16,甘肃,0,138,2,125,1.45,90.58
17,陕西,2,255,3,242,1.18,94.90
18,云南,1,182,2,172,1.10,94.51
19,河北,2,323,6,310,1.86,95.98
20,吉林,0,98,1,92,1.02,93.88
21,山西,1,137,0,133,0.00,97.08
22,重庆,0,579,6,570,1.04,98.45
23,河南,0,1276,22,1251,1.72,98.04
24,广西,0,254,2,250,0.79,98.43
25,黑龙江,0,484,13,469,2.69,96.90
26,江西,0,937,1,935,0.11,99.79
27,贵州,0,147,2,144,1.36,97.96
28,宁夏,0,75,0,75,0.00,100.00
29,新疆,0,76,3,73,3.95,96.05
30,西藏,0,1,0,1,0.00,100.00
31,湖南,0,1018,4,1014,0.39,99.61
32,海南,0,168,6,162,3.57,96.43
33,青海,0,18,0,18,0.00,100.00
34,安徽,0,990,6,984,0.61,99.39
