_id,省,新增确诊,累计确诊,死亡,治愈,死亡率,治愈率
1,黑龙江,8,921,13,477,1.41,51.79
2,香港,4,1029,4,650,0.39,63.17
3,台湾,3,425,6,217,1.41,51.06
4,上海,1,639,7,530,1.10,82.94
5,湖北,0,68128,4512,63519,6.62,93.23
6,内蒙古,0,194,1,108,0.52,55.67
7,北京,0,593,8,518,1.35,87.35
8,广东,0,1582,8,1511,0.51,95.51
9,山西,0,197,0,140,0.00,71.07
10,陕西,23,279,3,253,1.08,90.68
11,澳门,0,45,0,24,0.00,53.33
12,浙江,0,1268,1,1252,0.08,98.74
13,山东,0,787,7,766,0.89,97.33
14,福建,0,355,1,342,0.28,96.34
15,天津,0,189,3,176,1.59,93.12
16,江苏,0,653,0,645,0.00,98.77
17,吉林,0,106,1,98,0.94,92.45
18,河北,0,328,6,317,1.83,96.65
19,云南,0,184,2,178,1.09,96.74
20,重庆,0,579,6,570,1.04,98.45
21,四川,0,561,3,556,0.53,99.11
22,安徽,0,991,6,984,0.61,99.29
23,辽宁,0,146,2,143,1.37,97.95
24,西藏,0,1,0,1,0.00,100.00
25,青海,0,18,0,18,0.00,100.00
26,宁夏,0,75,0,75,0.00,100.00
27,海南,0,168,6,162,3.57,96.43
28,湖南,0,1019,4,1015,0.39,99.61
29,甘肃,0,139,2,137,1.44,98.56
30,广西,0,254,2,252,0.79,99.21
31,贵州,0,147,2,145,1.36,98.64
32,河南,0,1276,22,1254,1.72,98.28
33,江西,0,937,1,936,0.11,99.89
34,新疆,0,76,3,73,3.95,96.05
