_id,省,新增确诊,累计确诊,死亡,治愈,死亡率,治愈率
1,湖北,196,67103,2803,33757,4.18,50.31
2,广东,1,1350,7,1034,0.52,76.59
3,河南,0,1272,22,1205,1.73,94.73
4,浙江,0,1205,1,1050,0.08,87.14
5,湖南,0,1018,4,876,0.39,86.05
6,安徽,0,990,6,917,0.61,92.63
7,江西,0,935,1,850,0.11,90.91
8,山东,2,758,6,455,0.79,60.03
9,江苏,0,631,0,536,0.00,84.94
10,重庆,0,576,6,450,1.04,78.12
11,四川,0,538,3,378,0.56,70.26
12,黑龙江,0,480,13,350,2.71,72.92
13,北京,1,414,8,282,1.93,68.12
14,上海,0,337,3,292,0.89,86.65
15,河北,0,318,6,294,1.89,92.45
16,福建,0,296,1,247,0.34,83.45
17,广西,0,252,2,188,0.79,74.60
18,陕西,0,245,1,209,0.41,85.31
19,云南,0,174,2,163,1.15,93.68
20,海南,0,168,5,151,2.98,89.88
21,贵州,0,146,2,114,1.37,78.08
22,天津,0,136,3,111,2.21,81.62
23,山西,0,133,0,116,0.00,87.22
24,辽宁,0,122,1,103,0.82,84.43
25,香港,2,98,2,36,2.04,36.73
26,吉林,0,93,1,78,1.08,83.87
27,甘肃,0,91,2,84,2.20,92.31
28,新疆,0,76,3,64,3.95,84.21
29,内蒙古,0,75,0,51,0.00,68.00
30,宁夏,1,74,0,69,0.00,93.24
31,台湾,1,40,1,12,2.50,30.00
32,青海,0,18,0,18,0.00,100.00
33,澳门,0,10,0,8,0.00,80.00
34,西藏,0,1,0,1,0.00,100.00
