_id,省,新增确诊,累计确诊,死亡,治愈,死亡率,治愈率
1,香港,3,1082,4,1036,0.37,95.75
2,内蒙古,0,232,1,206,0.43,88.79
3,台湾,0,442,7,421,1.58,95.25
4,吉林,0,155,2,144,1.29,92.90
5,上海,0,672,7,657,1.04,97.77
6,山东,2,792,7,780,0.88,98.48
7,湖北,0,68135,4512,63619,6.62,93.37
8,四川,0,564,3,558,0.53,98.94
9,北京,0,593,9,581,1.52,97.98
10,广东,0,1593,8,1583,0.50,99.37
11,福建,0,358,1,355,0.28,99.16
12,海南,0,169,6,162,3.55,95.86
13,天津,0,192,3,188,1.56,97.92
14,新疆,0,76,3,73,3.95,96.05
15,河南,0,1276,22,1254,1.72,98.28
16,黑龙江,0,945,13,932,1.38,98.62
17,山西,0,198,0,198,0.00,100.00
18,河北,0,328,6,322,1.83,98.17
19,贵州,0,147,2,145,1.36,98.64
20,辽宁,0,149,2,147,1.34,98.66
21,陕西,0,308,3,305,0.97,99.03
22,澳门,0,45,0,45,0.00,100.00
23,重庆,0,579,6,573,1.04,98.96
24,西藏,0,1,0,1,0.00,100.00
25,宁夏,0,75,0,75,0.00,100.00
26,江苏,0,653,0,653,0.00,100.00
27,青海,0,18,0,18,0.00,100.00
28,广西,0,254,2,252,0.79,99.21
29,江西,0,937,1,936,0.11,99.89
30,云南,0,185,2,183,1.08,98.92
31,甘肃,0,139,2,137,1.44,98.56
32,浙江,0,1268,1,1267,0.08,99.92
33,安徽,0,991,6,985,0.61,99.39
34,湖南,0,1019,4,1015,0.39,99.61
