_id,省,新增确诊,累计确诊,死亡,治愈,死亡率,治愈率
1,香港,15,4801,88,4320,1.83,89.98
2,上海,6,903,7,835,0.78,92.47
3,新疆,0,902,3,850,0.33,94.24
4,四川,0,652,3,622,0.46,95.40
5,台湾,0,488,7,462,1.43,94.67
6,山东,0,831,7,807,0.84,97.11
7,福建,2,382,1,366,0.26,95.81
8,河北,0,362,6,343,1.66,94.75
9,广东,1,1739,8,1719,0.46,98.85
10,天津,5,226,3,213,1.33,94.25
11,浙江,1,1278,1,1268,0.08,99.22
12,江苏,0,665,0,657,0.00,98.80
13,陕西,0,364,3,353,0.82,96.98
14,云南,0,199,2,191,1.01,95.98
15,内蒙古,0,260,1,257,0.38,98.85
16,山西,1,203,0,201,0.00,99.01
17,辽宁,0,262,2,259,0.76,98.85
18,黑龙江,0,948,13,935,1.37,98.63
19,广西,0,255,2,253,0.78,99.22
20,青海,0,18,0,18,0.00,100.00
21,河南,0,1276,22,1254,1.72,98.28
22,湖北,0,68139,4512,63627,6.62,93.38
23,贵州,0,147,2,145,1.36,98.64
24,海南,0,171,6,165,3.51,96.49
25,重庆,0,583,6,577,1.03,98.97
26,湖南,0,1019,4,1015,0.39,99.61
27,吉林,0,157,2,155,1.27,98.73
28,安徽,0,991,6,985,0.61,99.39
29,澳门,0,46,0,46,0.00,100.00
30,宁夏,0,75,0,75,0.00,100.00
31,江西,0,935,1,934,0.11,99.89
32,北京,0,935,9,926,0.96,99.04
33,西藏,0,1,0,1,0.00,100.00
34,甘肃,0,169,2,167,1.18,98.82
