_id,省,新增确诊,累计确诊,死亡,治愈,死亡率,治愈率
1,湖北,0,67800,3153,59879,4.65,88.32
2,香港,44,317,4,100,1.26,31.55
3,台湾,16,169,2,28,1.18,16.57
4,北京,25,537,8,401,1.49,74.67
5,广东,6,1413,8,1332,0.57,94.27
6,上海,10,404,4,328,0.99,81.19
7,甘肃,0,136,2,114,1.47,83.82
8,福建,6,313,1,295,0.32,94.25
9,浙江,1,1238,1,1221,0.08,98.63
10,澳门,6,24,0,10,0.00,41.67
11,山东,1,767,7,751,0.91,97.91
12,黑龙江,0,484,13,465,2.69,96.07
13,陕西,0,248,3,239,1.21,96.37
14,天津,4,141,3,133,2.13,94.33
15,四川,0,543,3,536,0.55,98.71
16,河北,0,319,6,310,1.88,97.18
17,广西,0,254,2,250,0.79,98.43
18,江苏,0,633,0,631,0.00,99.68
19,河南,1,1274,22,1250,1.73,98.12
20,云南,0,176,2,172,1.14,97.73
21,重庆,0,577,6,570,1.04,98.79
22,海南,0,168,6,161,3.57,95.83
23,江西,0,936,1,934,0.11,99.79
24,辽宁,1,127,2,124,1.57,97.64
25,山西,0,133,0,133,0.00,100.00
26,宁夏,0,75,0,75,0.00,100.00
27,青海,0,18,0,18,0.00,100.00
28,安徽,0,990,6,984,0.61,99.39
29,内蒙古,0,75,1,74,1.33,98.67
30,新疆,0,76,3,73,3.95,96.05
31,西藏,0,1,0,1,0.00,100.00
32,吉林,0,93,1,92,1.08,98.92
33,贵州,0,146,2,144,1.37,98.63
34,湖南,0,1018,4,1014,0.39,99.61
