_id,省,新增确诊,累计确诊,死亡,治愈,死亡率,治愈率
1,香港,72,4079,52,2847,1.27,69.80
2,新疆,14,853,3,258,0.35,30.25
3,辽宁,0,259,2,174,0.77,67.18
4,上海,18,786,7,731,0.89,93.00
5,台湾,0,477,7,441,1.47,92.45
6,广东,3,1696,8,1671,0.47,98.53
7,山东,4,810,7,788,0.86,97.28
8,四川,4,615,3,599,0.49,97.40
9,陕西,3,331,3,319,0.91,96.37
10,北京,0,935,9,920,0.96,98.40
11,江苏,0,659,0,654,0.00,99.24
12,浙江,1,1273,1,1268,0.08,99.61
13,湖北,0,68139,4512,63623,6.62,93.37
14,内蒙古,0,258,1,253,0.39,98.06
15,福建,0,367,1,363,0.27,98.91
16,天津,0,205,3,200,1.46,97.56
17,云南,0,191,2,188,1.05,98.43
18,吉林,0,157,2,154,1.27,98.09
19,江西,0,932,1,931,0.11,99.89
20,河南,0,1276,22,1254,1.72,98.28
21,广西,0,255,2,253,0.78,99.22
22,重庆,0,583,6,577,1.03,98.97
23,西藏,0,1,0,1,0.00,100.00
24,海南,0,171,6,165,3.51,96.49
25,山西,0,201,0,201,0.00,100.00
26,青海,0,18,0,18,0.00,100.00
27,安徽,0,991,6,985,0.61,99.39
28,黑龙江,0,947,13,934,1.37,98.63
29,湖南,0,1019,4,1015,0.39,99.61
30,甘肃,0,167,2,165,1.20,98.80
31,澳门,0,46,0,46,0.00,100.00
32,河北,0,349,6,343,1.72,98.28
33,贵州,0,147,2,145,1.36,98.64
34,宁夏,0,75,0,75,0.00,100.00
