_id,省,新增确诊,累计确诊,死亡,治愈,死亡率,治愈率
1,湖北,401,65187,2615,20912,4.01,32.08
2,广东,0,1347,7,841,0.52,62.44
3,河南,0,1271,19,1023,1.49,80.49
4,浙江,0,1205,1,814,0.08,67.55
5,湖南,0,1016,4,779,0.39,76.67
6,安徽,0,989,6,764,0.61,77.25
7,江西,0,934,1,719,0.11,76.98
8,山东,1,756,6,357,0.79,47.22
9,江苏,0,631,0,463,0.00,73.38
10,重庆,0,576,6,372,1.04,64.58
11,四川,2,531,3,292,0.56,54.99
12,黑龙江,0,480,12,245,2.50,51.04
13,北京,0,400,4,235,1.00,58.75
14,上海,0,336,3,272,0.89,80.95
15,河北,1,312,6,248,1.92,79.49
16,福建,0,294,1,205,0.34,69.73
17,广西,0,252,2,138,0.79,54.76
18,陕西,0,245,1,186,0.41,75.92
19,云南,0,174,2,144,1.15,82.76
20,海南,0,168,5,124,2.98,73.81
21,贵州,0,146,2,104,1.37,71.23
22,天津,0,135,3,91,2.22,67.41
23,山西,0,133,0,98,0.00,73.68
24,辽宁,0,121,1,88,0.83,72.73
25,吉林,0,93,1,63,1.08,67.74
26,甘肃,0,91,2,80,2.20,87.91
27,香港,4,85,2,18,2.35,21.18
28,新疆,0,76,2,30,2.63,39.47
29,内蒙古,0,75,0,35,0.00,46.67
30,宁夏,0,71,0,61,0.00,85.92
31,台湾,1,31,1,5,3.23,16.13
32,青海,0,18,0,18,0.00,100.00
33,澳门,0,10,0,7,0.00,70.00
34,西藏,0,1,0,1,0.00,100.00
