_id,省,新增确诊,累计确诊,死亡,治愈,死亡率,治愈率
1,香港,95,3849,46,2458,1.20,63.86
2,新疆,26,799,3,153,0.38,19.15
3,辽宁,0,258,2,161,0.78,62.40
4,上海,7,764,7,728,0.92,95.29
5,台湾,1,477,7,441,1.47,92.45
6,广东,0,1687,8,1663,0.47,98.58
7,山东,0,805,7,787,0.87,97.76
8,内蒙古,0,258,1,247,0.39,95.74
9,四川,1,611,3,599,0.49,98.04
10,陕西,0,328,3,318,0.91,96.95
11,北京,1,935,9,920,0.96,98.40
12,天津,0,205,3,197,1.46,96.10
13,江苏,1,659,0,654,0.00,99.24
14,福建,0,367,1,363,0.27,98.91
15,湖北,0,68138,4512,63623,6.62,93.37
16,云南,0,191,2,187,1.05,97.91
17,浙江,0,1270,1,1268,0.08,99.84
18,吉林,0,157,2,154,1.27,98.09
19,山西,0,201,0,201,0.00,100.00
20,宁夏,0,75,0,75,0.00,100.00
21,安徽,0,991,6,985,0.61,99.39
22,黑龙江,0,947,13,934,1.37,98.63
23,甘肃,0,167,2,165,1.20,98.80
24,江西,0,932,1,931,0.11,99.89
25,贵州,0,147,2,145,1.36,98.64
26,重庆,0,583,6,577,1.03,98.97
27,湖南,0,1019,4,1015,0.39,99.61
28,青海,0,18,0,18,0.00,100.00
29,河南,0,1276,22,1254,1.72,98.28
30,海南,0,171,6,165,3.51,96.49
31,河北,0,349,6,343,1.72,98.28
32,澳门,0,46,0,46,0.00,100.00
33,西藏,0,1,0,1,0.00,100.00
34,广西,0,255,2,253,0.78,99.22
