_id,省,新增确诊,累计确诊,死亡,治愈,死亡率,治愈率
1,湖北,1,67803,3207,63762,4.73,94.04
2,香港,43,845,4,173,0.47,20.47
3,台湾,0,348,5,50,1.44,14.37
4,上海,3,529,6,348,1.13,65.78
5,北京,2,585,8,438,1.37,74.87
6,广东,2,1516,8,1378,0.53,90.90
7,福建,1,350,1,301,0.29,86.00
8,内蒙古,0,117,1,74,0.85,63.25
9,天津,3,180,3,140,1.67,77.78
10,澳门,1,43,0,10,0.00,23.26
11,浙江,2,1262,1,1229,0.08,97.39
12,江苏,0,651,0,632,0.00,97.08
13,山东,0,778,7,755,0.90,97.04
14,四川,2,557,3,538,0.54,96.59
15,辽宁,0,141,2,125,1.42,88.65
16,河北,0,326,6,310,1.84,95.09
17,云南,0,184,2,172,1.09,93.48
18,黑龙江,2,491,13,469,2.65,95.52
19,陕西,1,256,3,245,1.17,95.70
20,吉林,0,98,1,92,1.02,93.88
21,甘肃,0,138,2,131,1.45,94.93
22,山西,0,137,0,133,0.00,97.08
23,重庆,0,579,6,570,1.04,98.45
24,河南,0,1276,22,1251,1.72,98.04
25,江西,0,937,1,935,0.11,99.79
26,贵州,0,147,2,144,1.36,97.96
27,湖南,0,1019,4,1014,0.39,99.51
28,安徽,0,990,6,984,0.61,99.39
29,广西,0,254,2,252,0.79,99.21
30,新疆,0,76,3,73,3.95,96.05
31,西藏,0,1,0,1,0.00,100.00
32,宁夏,0,75,0,75,0.00,100.00
33,海南,0,168,6,162,3.57,96.43
34,青海,0,18,0,18,0.00,100.00
