_id,省,新增确诊,累计确诊,死亡,治愈,死亡率,治愈率
1,湖北,114,67217,2834,36167,4.22,53.81
2,广东,0,1350,7,1081,0.52,80.07
3,河南,0,1272,22,1223,1.73,96.15
4,浙江,7,1213,1,1086,0.08,89.53
5,湖南,0,1018,4,892,0.39,87.62
6,安徽,0,990,6,941,0.61,95.05
7,江西,0,935,1,870,0.11,93.05
8,山东,0,758,6,497,0.79,65.57
9,江苏,0,631,0,555,0.00,87.96
10,重庆,0,576,6,469,1.04,81.42
11,四川,0,538,3,389,0.56,72.30
12,黑龙江,0,480,13,358,2.71,74.58
13,北京,0,414,8,288,1.93,69.57
14,上海,1,338,3,294,0.89,86.98
15,河北,0,318,6,297,1.89,93.40
16,福建,0,296,1,255,0.34,86.15
17,广西,0,252,2,202,0.79,80.16
18,陕西,0,245,1,216,0.41,88.16
19,云南,0,174,2,169,1.15,97.13
20,海南,0,168,5,151,2.98,89.88
21,贵州,0,146,2,114,1.37,78.08
22,天津,0,136,3,118,2.21,86.76
23,山西,0,133,0,119,0.00,89.47
24,辽宁,3,125,1,103,0.80,82.40
25,香港,2,100,2,36,2.00,36.00
26,吉林,0,93,1,83,1.08,89.25
27,甘肃,0,91,2,85,2.20,93.41
28,新疆,0,76,3,67,3.95,88.16
29,内蒙古,0,75,1,54,1.33,72.00
30,宁夏,0,74,0,69,0.00,93.24
31,台湾,0,41,1,12,2.44,29.27
32,青海,0,18,0,18,0.00,100.00
33,澳门,0,10,0,8,0.00,80.00
34,西藏,0,1,0,1,0.00,100.00
