_id,省,新增确诊,累计确诊,死亡,治愈,死亡率,治愈率
1,香港,3,1105,4,1048,0.36,94.84
2,内蒙古,0,235,1,213,0.43,90.64
3,四川,0,578,3,558,0.52,96.54
4,广东,1,1602,8,1584,0.50,98.88
5,台湾,0,443,7,429,1.58,96.84
6,上海,0,677,7,664,1.03,98.08
7,山东,0,792,7,780,0.88,98.48
8,陕西,2,311,3,305,0.96,98.07
9,海南,1,170,6,162,3.53,95.29
10,吉林,0,155,2,151,1.29,97.42
11,福建,1,359,1,356,0.28,99.16
12,北京,0,594,9,583,1.52,98.15
13,天津,1,193,3,189,1.55,97.93
14,云南,0,185,2,183,1.08,98.92
15,西藏,0,1,0,1,0.00,100.00
16,贵州,0,147,2,145,1.36,98.64
17,湖南,0,1019,4,1015,0.39,99.61
18,江苏,0,653,0,653,0.00,100.00
19,河北,0,328,6,322,1.83,98.17
20,辽宁,0,149,2,147,1.34,98.66
21,甘肃,0,139,2,137,1.44,98.56
22,黑龙江,0,947,13,934,1.37,98.63
23,山西,0,198,0,198,0.00,100.00
24,浙江,0,1268,1,1267,0.08,99.92
25,安徽,0,991,6,985,0.61,99.39
26,宁夏,0,75,0,75,0.00,100.00
27,湖北,0,68135,4512,63623,6.62,93.38
28,河南,0,1276,22,1254,1.72,98.28
29,澳门,0,45,0,45,0.00,100.00
30,青海,0,18,0,18,0.00,100.00
31,重庆,0,579,6,573,1.04,98.96
32,广西,0,254,2,252,0.79,99.21
33,江西,0,932,1,931,0.11,99.89
34,新疆,0,76,3,73,3.95,96.05
