_id,省,新增确诊,累计确诊,死亡,治愈,死亡率,治愈率
1,香港,2,1084,4,1037,0.37,95.66
2,内蒙古,3,235,1,207,0.43,88.09
3,四川,11,575,3,558,0.52,97.04
4,台湾,0,442,7,423,1.58,95.70
5,吉林,0,155,2,144,1.29,92.90
6,上海,0,672,7,657,1.04,97.77
7,山东,0,792,7,780,0.88,98.48
8,广东,2,1595,8,1583,0.50,99.25
9,湖北,0,68135,4512,63620,6.62,93.37
10,北京,0,593,9,581,1.52,97.98
11,海南,0,169,6,162,3.55,95.86
12,福建,0,358,1,356,0.28,99.44
13,陕西,1,309,3,305,0.97,98.71
14,天津,0,192,3,188,1.56,97.92
15,宁夏,0,75,0,75,0.00,100.00
16,重庆,0,579,6,573,1.04,98.96
17,湖南,0,1019,4,1015,0.39,99.61
18,澳门,0,45,0,45,0.00,100.00
19,西藏,0,1,0,1,0.00,100.00
20,广西,0,254,2,252,0.79,99.21
21,新疆,0,76,3,73,3.95,96.05
22,青海,0,18,0,18,0.00,100.00
23,浙江,0,1268,1,1267,0.08,99.92
24,江西,0,937,1,936,0.11,99.89
25,河南,0,1276,22,1254,1.72,98.28
26,江苏,0,653,0,653,0.00,100.00
27,黑龙江,0,945,13,932,1.38,98.62
28,甘肃,0,139,2,137,1.44,98.56
29,安徽,0,991,6,985,0.61,99.39
30,贵州,0,147,2,145,1.36,98.64
31,云南,0,185,2,183,1.08,98.92
32,河北,0,328,6,322,1.83,98.17
33,山西,0,198,0,198,0.00,100.00
34,辽宁,0,149,2,147,1.34,98.66
