_id,省,新增确诊,累计确诊,死亡,治愈,死亡率,治愈率
1,北京,36,673,9,584,1.34,86.78
2,香港,3,1112,4,1067,0.36,95.95
3,广东,0,1625,8,1590,0.49,97.85
4,四川,4,587,3,563,0.51,95.91
5,上海,1,692,7,667,1.01,96.39
6,福建,1,362,1,356,0.28,98.34
7,台湾,2,445,7,433,1.57,97.30
8,内蒙古,0,237,1,231,0.42,97.47
9,陕西,0,313,3,306,0.96,97.76
10,天津,0,196,3,189,1.53,96.43
11,山东,0,792,7,782,0.88,98.74
12,重庆,2,582,6,573,1.03,98.45
13,河北,3,331,6,322,1.81,97.28
14,海南,0,171,6,163,3.51,95.32
15,辽宁,0,151,2,147,1.32,97.35
16,安徽,0,991,6,985,0.61,99.39
17,云南,0,185,2,183,1.08,98.92
18,宁夏,0,75,0,75,0.00,100.00
19,贵州,0,147,2,145,1.36,98.64
20,青海,0,18,0,18,0.00,100.00
21,湖南,0,1019,4,1015,0.39,99.61
22,西藏,0,1,0,1,0.00,100.00
23,江西,0,932,1,931,0.11,99.89
24,江苏,0,653,0,653,0.00,100.00
25,澳门,0,45,0,45,0.00,100.00
26,黑龙江,0,947,13,934,1.37,98.63
27,吉林,0,155,2,153,1.29,98.71
28,湖北,0,68135,4512,63623,6.62,93.38
29,新疆,0,76,3,73,3.95,96.05
30,甘肃,0,139,2,137,1.44,98.56
31,浙江,0,1268,1,1267,0.08,99.92
32,广西,0,254,2,252,0.79,99.21
33,山西,0,198,0,198,0.00,100.00
34,河南,0,1276,22,1254,1.72,98.28
