_id,省,新增确诊,累计确诊,死亡,治愈,死亡率,治愈率
1,香港,1,1108,4,1060,0.36,95.67
2,四川,1,583,3,562,0.51,96.40
3,上海,1,690,7,666,1.01,96.52
4,广东,1,1608,8,1590,0.50,98.88
5,内蒙古,0,237,1,231,0.42,97.47
6,台湾,0,443,7,431,1.58,97.29
7,山东,0,792,7,781,0.88,98.61
8,福建,0,361,1,356,0.28,98.61
9,天津,0,196,3,189,1.53,96.43
10,北京,0,597,9,584,1.51,97.82
11,海南,0,170,6,162,3.53,95.29
12,陕西,0,311,3,306,0.96,98.39
13,西藏,0,1,0,1,0.00,100.00
14,新疆,0,76,3,73,3.95,96.05
15,青海,0,18,0,18,0.00,100.00
16,吉林,0,155,2,153,1.29,98.71
17,重庆,0,579,6,573,1.04,98.96
18,河南,0,1276,22,1254,1.72,98.28
19,辽宁,0,149,2,147,1.34,98.66
20,河北,0,328,6,322,1.83,98.17
21,安徽,0,991,6,985,0.61,99.39
22,湖南,0,1019,4,1015,0.39,99.61
23,甘肃,0,139,2,137,1.44,98.56
24,湖北,0,68135,4512,63623,6.62,93.38
25,广西,0,254,2,252,0.79,99.21
26,黑龙江,0,947,13,934,1.37,98.63
27,宁夏,0,75,0,75,0.00,100.00
28,山西,0,198,0,198,0.00,100.00
29,浙江,0,1268,1,1267,0.08,99.92
30,江西,0,932,1,931,0.11,99.89
31,江苏,0,653,0,653,0.00,100.00
32,云南,0,185,2,183,1.08,98.92
33,贵州,0,147,2,145,1.36,98.64
34,澳门,0,45,0,45,0.00,100.00
