_id,省,新增确诊,累计确诊,死亡,治愈,死亡率,治愈率
1,香港,12,4925,99,4598,2.01,93.36
2,上海,2,939,7,890,0.75,94.78
3,广东,2,1776,8,1745,0.45,98.25
4,四川,0,665,3,645,0.45,96.99
5,台湾,2,498,7,475,1.41,95.38
6,福建,1,388,1,375,0.26,96.65
7,陕西,1,380,3,365,0.79,96.05
8,山东,0,831,7,813,0.84,97.83
9,天津,0,233,3,220,1.29,94.42
10,浙江,0,1278,1,1268,0.08,99.22
11,云南,0,201,2,193,1.00,96.02
12,河北,0,365,6,355,1.64,97.26
13,江苏,0,665,0,663,0.00,99.70
14,辽宁,0,264,2,260,0.76,98.48
15,广西,0,257,2,253,0.78,98.44
16,内蒙古,0,261,1,259,0.38,99.23
17,山西,0,203,0,202,0.00,99.51
18,重庆,0,584,6,577,1.03,98.80
19,海南,0,171,6,165,3.51,96.49
20,青海,0,18,0,18,0.00,100.00
21,甘肃,0,170,2,168,1.18,98.82
22,北京,0,935,9,926,0.96,99.04
23,吉林,0,157,2,155,1.27,98.73
24,新疆,0,902,3,899,0.33,99.67
25,湖南,0,1019,4,1015,0.39,99.61
26,安徽,0,991,6,985,0.61,99.39
27,西藏,0,1,0,1,0.00,100.00
28,黑龙江,0,948,13,935,1.37,98.63
29,湖北,0,68139,4512,63627,6.62,93.38
30,河南,0,1276,22,1254,1.72,98.28
31,宁夏,0,75,0,75,0.00,100.00
32,江西,0,935,1,934,0.11,99.89
33,贵州,0,147,2,145,1.36,98.64
34,澳门,0,46,0,46,0.00,100.00
