_id,省,新增确诊,累计确诊,死亡,治愈,死亡率,治愈率
1,湖北,134,67466,2902,40479,4.30,60.00
2,广东,0,1350,7,1159,0.52,85.85
3,河南,0,1272,22,1239,1.73,97.41
4,浙江,2,1215,1,1130,0.08,93.00
5,湖南,0,1018,4,933,0.39,91.65
6,安徽,0,990,6,970,0.61,97.98
7,江西,0,935,1,901,0.11,96.36
8,山东,0,758,6,576,0.79,75.99
9,江苏,0,631,0,580,0.00,91.92
10,重庆,0,576,6,502,1.04,87.15
11,四川,1,539,3,418,0.56,77.55
12,黑龙江,1,481,13,379,2.70,78.79
13,北京,1,418,8,297,1.91,71.05
14,上海,0,338,3,298,0.89,88.17
15,河北,0,318,6,301,1.89,94.65
16,福建,0,296,1,270,0.34,91.22
17,广西,0,252,2,213,0.79,84.52
18,陕西,0,245,1,222,0.41,90.61
19,云南,0,174,2,169,1.15,97.13
20,海南,0,168,6,158,3.57,94.05
21,贵州,0,146,2,114,1.37,78.08
22,天津,0,136,3,128,2.21,94.12
23,山西,0,133,0,124,0.00,93.23
24,辽宁,0,125,1,106,0.80,84.80
25,香港,4,104,2,43,1.92,41.35
26,吉林,0,93,1,86,1.08,92.47
27,甘肃,0,91,2,87,2.20,95.60
28,新疆,0,76,3,69,3.95,90.79
29,内蒙古,0,75,1,63,1.33,84.00
30,宁夏,0,75,0,69,0.00,92.00
31,台湾,0,42,1,12,2.38,28.57
32,青海,0,18,0,18,0.00,100.00
33,澳门,0,10,0,9,0.00,90.00
34,西藏,0,1,0,1,0.00,100.00
