_id,省,新增确诊,累计确诊,死亡,治愈,死亡率,治愈率
1,香港,7,5104,105,4843,2.06,94.89
2,上海,4,1011,7,953,0.69,94.26
3,四川,2,698,3,663,0.43,94.99
4,台湾,2,517,7,484,1.35,93.62
5,陕西,1,411,3,384,0.73,93.43
6,广东,3,1834,8,1803,0.44,98.31
7,福建,0,411,1,391,0.24,95.13
8,浙江,0,1282,1,1272,0.08,99.22
9,云南,0,209,2,198,0.96,94.74
10,内蒙古,0,266,1,260,0.38,97.74
11,辽宁,0,271,2,264,0.74,97.42
12,河南,0,1281,22,1254,1.72,97.89
13,天津,0,240,3,234,1.25,97.50
14,广西,0,259,2,255,0.77,98.46
15,山东,0,832,7,823,0.84,98.92
16,江苏,0,666,0,664,0.00,99.70
17,河北,0,365,6,358,1.64,98.08
18,重庆,0,585,6,578,1.03,98.80
19,北京,0,936,9,926,0.96,98.93
20,山西,0,204,0,203,0.00,99.51
21,新疆,0,902,3,899,0.33,99.67
22,吉林,0,157,2,155,1.27,98.73
23,青海,0,18,0,18,0.00,100.00
24,湖北,0,68139,4512,63627,6.62,93.38
25,西藏,0,1,0,1,0.00,100.00
26,澳门,0,46,0,46,0.00,100.00
27,海南,0,171,6,165,3.51,96.49
28,贵州,0,147,2,145,1.36,98.64
29,安徽,0,991,6,985,0.61,99.39
30,湖南,0,1019,4,1015,0.39,99.61
31,江西,0,935,1,934,0.11,99.89
32,甘肃,0,170,2,168,1.18,98.82
33,宁夏,0,75,0,75,0.00,100.00
34,黑龙江,0,948,13,935,1.37,98.63
