_id,省,新增确诊,累计确诊,死亡,治愈,死亡率,治愈率
1,北京,31,731,9,584,1.23,79.89
2,香港,0,1112,4,1069,0.36,96.13
3,广东,0,1628,8,1593,0.49,97.85
4,四川,1,589,3,565,0.51,95.93
5,上海,0,695,7,667,1.01,95.97
6,甘肃,10,149,2,137,1.34,91.95
7,河北,1,336,6,322,1.79,95.83
8,福建,0,362,1,356,0.28,98.34
9,台湾,0,445,7,433,1.57,97.30
10,陕西,0,313,3,306,0.96,97.76
11,天津,0,196,3,189,1.53,96.43
12,重庆,0,582,6,573,1.03,98.45
13,内蒙古,0,238,1,234,0.42,98.32
14,辽宁,0,152,2,147,1.32,96.71
15,山东,0,792,7,783,0.88,98.86
16,海南,0,171,6,163,3.51,95.32
17,浙江,1,1269,1,1267,0.08,99.84
18,西藏,0,1,0,1,0.00,100.00
19,山西,0,198,0,198,0.00,100.00
20,广西,0,254,2,252,0.79,99.21
21,云南,0,185,2,183,1.08,98.92
22,江西,0,932,1,931,0.11,99.89
23,黑龙江,0,947,13,934,1.37,98.63
24,新疆,0,76,3,73,3.95,96.05
25,湖南,0,1019,4,1015,0.39,99.61
26,宁夏,0,75,0,75,0.00,100.00
27,吉林,0,155,2,153,1.29,98.71
28,河南,0,1276,22,1254,1.72,98.28
29,贵州,0,147,2,145,1.36,98.64
30,青海,0,18,0,18,0.00,100.00
31,安徽,0,991,6,985,0.61,99.39
32,湖北,0,68135,4512,63623,6.62,93.38
33,江苏,0,653,0,653,0.00,100.00
34,澳门,0,45,0,45,0.00,100.00
