_id,省,新增确诊,累计确诊,死亡,治愈,死亡率,治愈率
1,香港,5,5113,105,4861,2.05,95.07
2,上海,10,1022,7,957,0.68,93.64
3,四川,3,704,3,663,0.43,94.18
4,广东,1,1841,8,1806,0.43,98.10
5,台湾,0,517,7,484,1.35,93.62
6,陕西,0,413,3,388,0.73,93.95
7,福建,2,413,1,394,0.24,95.40
8,云南,0,211,2,199,0.95,94.31
9,浙江,0,1282,1,1272,0.08,99.22
10,内蒙古,2,268,1,261,0.37,97.39
11,河南,0,1281,22,1254,1.72,97.89
12,天津,0,241,3,234,1.24,97.10
13,辽宁,0,271,2,266,0.74,98.15
14,广西,0,260,2,255,0.77,98.08
15,江苏,1,667,0,664,0.00,99.55
16,山东,0,832,7,823,0.84,98.92
17,山西,1,205,0,203,0.00,99.02
18,北京,0,936,9,926,0.96,98.93
19,重庆,0,585,6,578,1.03,98.80
20,河北,0,365,6,358,1.64,98.08
21,甘肃,0,170,2,168,1.18,98.82
22,吉林,0,157,2,155,1.27,98.73
23,新疆,0,902,3,899,0.33,99.67
24,江西,0,935,1,934,0.11,99.89
25,宁夏,0,75,0,75,0.00,100.00
26,贵州,0,147,2,145,1.36,98.64
27,澳门,0,46,0,46,0.00,100.00
28,海南,0,171,6,165,3.51,96.49
29,湖北,0,68139,4512,63627,6.62,93.38
30,黑龙江,0,948,13,935,1.37,98.63
31,安徽,0,991,6,985,0.61,99.39
32,青海,0,18,0,18,0.00,100.00
33,湖南,0,1019,4,1015,0.39,99.61
34,西藏,0,1,0,1,0.00,100.00
