_id,省,新增确诊,累计确诊,死亡,治愈,死亡率,治愈率
1,香港,21,935,4,236,0.43,25.24
2,湖北,0,67803,3213,64142,4.74,94.60
3,台湾,3,376,5,61,1.33,16.22
4,北京,1,588,8,455,1.36,77.38
5,上海,5,543,7,417,1.29,76.80
6,广东,3,1536,8,1411,0.52,91.86
7,黑龙江,25,569,13,470,2.28,82.60
8,内蒙古,3,124,1,74,0.81,59.68
9,福建,0,351,1,307,0.28,87.46
10,澳门,1,45,0,10,0.00,22.22
11,浙江,1,1266,1,1232,0.08,97.31
12,山西,25,163,0,134,0.00,82.21
13,天津,0,180,3,152,1.67,84.44
14,山东,2,783,7,755,0.89,96.42
15,江苏,0,651,0,633,0.00,97.24
16,四川,0,560,3,541,0.54,96.61
17,辽宁,0,144,2,131,1.39,90.97
18,云南,0,184,2,173,1.09,94.02
19,河北,0,327,6,312,1.83,95.41
20,陕西,0,256,3,246,1.17,96.09
21,吉林,0,98,1,92,1.02,93.88
22,甘肃,0,139,2,133,1.44,95.68
23,重庆,0,579,6,570,1.04,98.45
24,河南,0,1276,22,1252,1.72,98.12
25,湖南,0,1019,4,1014,0.39,99.51
26,江西,0,937,1,935,0.11,99.79
27,贵州,0,147,2,144,1.36,97.96
28,广西,0,254,2,252,0.79,99.21
29,新疆,0,76,3,73,3.95,96.05
30,安徽,0,990,6,984,0.61,99.39
31,海南,0,168,6,162,3.57,96.43
32,青海,0,18,0,18,0.00,100.00
33,宁夏,0,75,0,75,0.00,100.00
34,西藏,0,1,0,1,0.00,100.00
