_id,省,新增确诊,累计确诊,死亡,治愈,死亡率,治愈率
1,台湾,0,440,6,366,1.36,83.18
2,香港,3,1047,4,982,0.38,93.79
3,黑龙江,1,945,13,904,1.38,95.66
4,上海,0,659,7,627,1.06,95.14
5,吉林,3,127,1,105,0.79,82.68
6,内蒙古,7,208,1,187,0.48,89.90
7,北京,0,593,9,568,1.52,95.78
8,陕西,0,308,3,294,0.97,95.45
9,湖北,5,68134,4512,63616,6.62,93.37
10,山东,0,788,7,777,0.89,98.60
11,广东,0,1589,8,1577,0.50,99.24
12,澳门,0,45,0,41,0.00,91.11
13,天津,0,191,3,186,1.57,97.38
14,河北,0,328,6,321,1.83,97.87
15,福建,0,356,1,354,0.28,99.44
16,山西,0,198,0,197,0.00,99.49
17,辽宁,1,147,2,144,1.36,97.96
18,江苏,0,653,0,653,0.00,100.00
19,江西,0,937,1,936,0.11,99.89
20,浙江,0,1268,1,1267,0.08,99.92
21,青海,0,18,0,18,0.00,100.00
22,重庆,0,579,6,573,1.04,98.96
23,河南,0,1276,22,1254,1.72,98.28
24,宁夏,0,75,0,75,0.00,100.00
25,四川,0,561,3,558,0.53,99.47
26,新疆,0,76,3,73,3.95,96.05
27,湖南,0,1019,4,1015,0.39,99.61
28,甘肃,0,139,2,137,1.44,98.56
29,贵州,0,147,2,145,1.36,98.64
30,海南,0,168,6,162,3.57,96.43
31,广西,0,254,2,252,0.79,99.21
32,西藏,0,1,0,1,0.00,100.00
33,安徽,0,991,6,985,0.61,99.39
34,云南,0,185,2,183,1.08,98.92
