_id,省,新增确诊,累计确诊,死亡,治愈,死亡率,治愈率
1,湖北,0,67801,3182,62565,4.69,92.28
2,香港,59,641,4,112,0.62,17.47
3,台湾,31,298,2,30,0.67,10.07
4,北京,5,577,8,412,1.39,71.40
5,上海,7,492,5,334,1.02,67.89
6,广东,8,1475,8,1349,0.54,91.46
7,福建,1,338,1,295,0.30,87.28
8,天津,10,166,3,133,1.81,80.12
9,浙江,3,1254,1,1225,0.08,97.69
10,澳门,3,37,0,10,0.00,27.03
11,内蒙古,1,95,1,74,1.05,77.89
12,山东,0,772,7,752,0.91,97.41
13,江苏,3,644,0,631,0.00,97.98
14,四川,2,550,3,536,0.55,97.45
15,甘肃,0,136,2,125,1.47,91.91
16,辽宁,3,134,2,124,1.49,92.54
17,陕西,0,253,3,242,1.19,95.65
18,云南,0,180,2,172,1.11,95.56
19,吉林,1,98,1,92,1.02,93.88
20,山西,2,137,0,133,0.00,97.08
21,重庆,1,579,6,570,1.04,98.45
22,河南,1,1276,22,1251,1.72,98.04
23,河北,0,319,6,310,1.88,97.18
24,黑龙江,0,484,13,469,2.69,96.90
25,广西,0,254,2,250,0.79,98.43
26,江西,1,937,1,934,0.11,99.68
27,贵州,1,147,2,144,1.36,97.96
28,安徽,0,990,6,984,0.61,99.39
29,宁夏,0,75,0,75,0.00,100.00
30,青海,0,18,0,18,0.00,100.00
31,新疆,0,76,3,73,3.95,96.05
32,西藏,0,1,0,1,0.00,100.00
33,海南,0,168,6,162,3.57,96.43
34,湖南,0,1018,4,1014,0.39,99.61
