_id,省,新增确诊,累计确诊,死亡,治愈,死亡率,治愈率
1,黑龙江,3,939,13,586,1.38,62.41
2,香港,0,1037,4,811,0.39,78.21
3,台湾,0,429,6,307,1.40,71.56
4,上海,2,644,7,584,1.09,90.68
5,内蒙古,1,199,1,145,0.50,72.86
6,陕西,20,306,3,253,0.98,82.68
7,北京,0,593,9,536,1.52,90.39
8,山西,0,197,0,160,0.00,81.22
9,广东,0,1587,8,1547,0.50,97.48
10,澳门,0,45,0,32,0.00,71.11
11,山东,0,787,7,768,0.89,97.59
12,吉林,0,110,1,99,0.91,90.00
13,江苏,0,653,0,646,0.00,98.93
14,浙江,0,1268,1,1261,0.08,99.45
15,福建,0,355,1,349,0.28,98.31
16,天津,0,190,3,182,1.58,95.79
17,河北,0,328,6,318,1.83,96.95
18,云南,0,185,2,181,1.08,97.84
19,辽宁,0,146,2,143,1.37,97.95
20,贵州,0,147,2,145,1.36,98.64
21,宁夏,0,75,0,75,0.00,100.00
22,江西,0,937,1,936,0.11,99.89
23,青海,0,18,0,18,0.00,100.00
24,新疆,0,76,3,73,3.95,96.05
25,海南,0,168,6,162,3.57,96.43
26,西藏,0,1,0,1,0.00,100.00
27,四川,0,561,3,558,0.53,99.47
28,广西,0,254,2,252,0.79,99.21
29,甘肃,0,139,2,137,1.44,98.56
30,安徽,0,991,6,985,0.61,99.39
31,湖北,0,68128,4512,63616,6.62,93.38
32,重庆,0,579,6,573,1.04,98.96
33,湖南,0,1019,4,1015,0.39,99.61
34,河南,0,1276,22,1254,1.72,98.28
