_id,省,新增确诊,累计确诊,死亡,治愈,死亡率,治愈率
1,台湾,0,440,7,383,1.59,87.05
2,香港,1,1051,4,1009,0.38,96.00
3,吉林,4,138,1,108,0.72,78.26
4,内蒙古,0,209,1,194,0.48,92.82
5,上海,0,660,7,640,1.06,96.97
6,北京,0,593,9,574,1.52,96.80
7,湖北,0,68134,4512,63616,6.62,93.37
8,陕西,0,308,3,300,0.97,97.40
9,山东,0,788,7,778,0.89,98.73
10,辽宁,0,149,2,144,1.34,96.64
11,黑龙江,0,945,13,930,1.38,98.41
12,澳门,0,45,0,43,0.00,95.56
13,广东,0,1589,8,1579,0.50,99.37
14,天津,0,191,3,187,1.57,97.91
15,河北,0,328,6,321,1.83,97.87
16,重庆,0,579,6,573,1.04,98.96
17,云南,0,185,2,183,1.08,98.92
18,四川,0,561,3,558,0.53,99.47
19,山西,0,198,0,198,0.00,100.00
20,福建,0,356,1,355,0.28,99.72
21,浙江,0,1268,1,1267,0.08,99.92
22,贵州,0,147,2,145,1.36,98.64
23,江苏,0,653,0,653,0.00,100.00
24,青海,0,18,0,18,0.00,100.00
25,安徽,0,991,6,985,0.61,99.39
26,西藏,0,1,0,1,0.00,100.00
27,河南,0,1276,22,1254,1.72,98.28
28,甘肃,0,139,2,137,1.44,98.56
29,宁夏,0,75,0,75,0.00,100.00
30,江西,0,937,1,936,0.11,99.89
31,广西,0,254,2,252,0.79,99.21
32,新疆,0,76,3,73,3.95,96.05
33,湖南,0,1019,4,1015,0.39,99.61
34,海南,0,168,6,162,3.57,96.43
