_id,省,新增确诊,累计确诊,死亡,治愈,死亡率,治愈率
1,湖北,1843,56249,1596,5623,2.84,10.00
2,广东,22,1316,2,436,0.15,33.13
3,河南,19,1231,13,397,1.06,32.25
4,浙江,5,1167,0,437,0.00,37.45
5,湖南,3,1004,3,430,0.30,42.83
6,安徽,12,962,6,266,0.62,27.65
7,江西,12,925,1,239,0.11,25.84
8,江苏,13,617,0,190,0.00,30.79
9,重庆,10,547,5,187,0.91,34.19
10,山东,7,537,2,166,0.37,30.91
11,四川,11,481,3,127,0.62,26.40
12,黑龙江,20,445,11,70,2.47,15.73
13,北京,5,380,4,105,1.05,27.63
14,上海,2,328,1,140,0.30,42.68
15,河北,9,300,3,100,1.00,33.33
16,福建,2,287,0,77,0.00,26.83
17,广西,2,237,2,46,0.84,19.41
18,陕西,4,236,0,64,0.00,27.12
19,云南,3,171,0,42,0.00,24.56
20,海南,0,162,4,39,2.47,24.07
21,贵州,1,144,1,46,0.69,31.94
22,山西,1,128,0,46,0.00,35.94
23,天津,4,124,3,37,2.42,29.84
24,辽宁,1,120,1,32,0.83,26.67
25,甘肃,0,90,2,49,2.22,54.44
26,吉林,1,89,1,28,1.12,31.46
27,新疆,1,71,1,11,1.41,15.49
28,宁夏,0,70,0,33,0.00,47.14
29,内蒙古,2,70,0,7,0.00,10.00
30,香港,1,57,1,2,1.75,3.51
31,台湾,0,18,0,2,0.00,11.11
32,青海,0,18,0,13,0.00,72.22
33,澳门,0,10,0,3,0.00,30.00
34,西藏,0,1,0,1,0.00,100.00
