_id,省,新增确诊,累计确诊,死亡,治愈,死亡率,治愈率
1,香港,36,4560,71,3677,1.56,80.64
2,新疆,0,902,3,568,0.33,62.97
3,上海,8,850,7,754,0.82,88.71
4,台湾,1,486,7,450,1.44,92.59
5,辽宁,0,261,2,230,0.77,88.12
6,广东,4,1725,8,1689,0.46,97.91
7,山东,1,823,7,793,0.85,96.35
8,陕西,2,358,3,335,0.84,93.58
9,四川,0,626,3,609,0.48,97.28
10,江苏,0,664,0,655,0.00,98.64
11,浙江,2,1277,1,1268,0.08,99.30
12,天津,0,209,3,202,1.44,96.65
13,云南,0,195,2,189,1.03,96.92
14,福建,0,370,1,365,0.27,98.65
15,内蒙古,0,260,1,256,0.38,98.46
16,北京,0,935,9,924,0.96,98.82
17,河北,0,351,6,343,1.71,97.72
18,黑龙江,0,948,13,934,1.37,98.52
19,湖北,0,68139,4512,63626,6.62,93.38
20,宁夏,0,75,0,75,0.00,100.00
21,湖南,0,1019,4,1015,0.39,99.61
22,青海,0,18,0,18,0.00,100.00
23,吉林,0,157,2,155,1.27,98.73
24,海南,0,171,6,165,3.51,96.49
25,江西,0,932,1,931,0.11,99.89
26,河南,0,1276,22,1254,1.72,98.28
27,贵州,0,147,2,145,1.36,98.64
28,西藏,0,1,0,1,0.00,100.00
29,重庆,0,583,6,577,1.03,98.97
30,广西,0,255,2,253,0.78,99.22
31,安徽,0,991,6,985,0.61,99.39
32,山西,0,201,0,201,0.00,100.00
33,澳门,0,46,0,46,0.00,100.00
34,甘肃,0,169,2,167,1.18,98.82
