_id,省,新增确诊,累计确诊,死亡,治愈,死亡率,治愈率
1,北京,0,929,9,600,0.97,64.59
2,香港,31,1299,7,1161,0.54,89.38
3,上海,2,718,7,688,0.97,95.82
4,四川,2,598,3,581,0.50,97.16
5,甘肃,0,167,2,156,1.20,93.41
6,辽宁,2,159,2,150,1.26,94.34
7,河北,0,349,6,337,1.72,96.56
8,广东,1,1644,8,1631,0.49,99.21
9,陕西,0,321,3,313,0.93,97.51
10,台湾,0,449,7,438,1.56,97.55
11,内蒙古,1,240,1,237,0.42,98.75
12,重庆,0,582,6,574,1.03,98.63
13,天津,0,199,3,194,1.51,97.49
14,福建,0,363,1,360,0.28,99.17
15,澳门,0,46,0,45,0.00,97.83
16,江苏,0,654,0,653,0.00,99.85
17,云南,0,186,2,183,1.08,98.39
18,浙江,0,1269,1,1267,0.08,99.84
19,吉林,0,155,2,153,1.29,98.71
20,河南,0,1276,22,1254,1.72,98.28
21,海南,0,171,6,165,3.51,96.49
22,山西,0,198,0,198,0.00,100.00
23,山东,0,792,7,785,0.88,99.12
24,宁夏,0,75,0,75,0.00,100.00
25,西藏,0,1,0,1,0.00,100.00
26,安徽,0,991,6,985,0.61,99.39
27,广西,0,254,2,252,0.79,99.21
28,新疆,0,76,3,73,3.95,96.05
29,湖南,0,1019,4,1015,0.39,99.61
30,湖北,0,68135,4512,63623,6.62,93.38
31,青海,0,18,0,18,0.00,100.00
32,贵州,0,147,2,145,1.36,98.64
33,江西,0,932,1,931,0.11,99.89
34,黑龙江,0,947,13,934,1.37,98.63
