_id,省,新增确诊,累计确诊,死亡,治愈,死亡率,治愈率
1,黑龙江,0,944,13,815,1.38,86.33
2,香港,4,1044,4,944,0.38,90.42
3,台湾,1,440,6,347,1.36,78.86
4,陕西,0,308,3,268,0.97,87.01
5,内蒙古,0,201,1,172,0.50,85.57
6,上海,0,657,7,623,1.07,94.82
7,北京,0,593,9,560,1.52,94.44
8,吉林,1,113,1,104,0.88,92.04
9,广东,0,1589,8,1575,0.50,99.12
10,山东,0,788,7,776,0.89,98.48
11,澳门,0,45,0,40,0.00,88.89
12,山西,0,198,0,195,0.00,98.48
13,河北,0,328,6,320,1.83,97.56
14,天津,1,191,3,186,1.57,97.38
15,云南,0,185,2,182,1.08,98.38
16,江苏,0,653,0,652,0.00,99.85
17,福建,0,356,1,354,0.28,99.44
18,湖北,0,68128,4512,63616,6.62,93.38
19,河南,0,1276,22,1254,1.72,98.28
20,新疆,0,76,3,73,3.95,96.05
21,青海,0,18,0,18,0.00,100.00
22,贵州,0,147,2,145,1.36,98.64
23,湖南,0,1019,4,1015,0.39,99.61
24,江西,0,937,1,936,0.11,99.89
25,重庆,0,579,6,573,1.04,98.96
26,辽宁,0,146,2,144,1.37,98.63
27,安徽,0,991,6,985,0.61,99.39
28,四川,0,561,3,558,0.53,99.47
29,宁夏,0,75,0,75,0.00,100.00
30,海南,0,168,6,162,3.57,96.43
31,浙江,0,1268,1,1267,0.08,99.92
32,广西,0,254,2,252,0.79,99.21
33,西藏,0,1,0,1,0.00,100.00
34,甘肃,0,139,2,137,1.44,98.56
