_id,省,新增确诊,累计确诊,死亡,治愈,死亡率,治愈率
1,香港,0,4957,100,4630,2.02,93.40
2,上海,5,947,7,897,0.74,94.72
3,广东,1,1778,8,1751,0.45,98.48
4,四川,0,665,3,645,0.45,96.99
5,台湾,0,498,7,475,1.41,95.38
6,福建,2,390,1,376,0.26,96.41
7,浙江,0,1280,1,1268,0.08,99.06
8,山东,0,831,7,813,0.84,97.83
9,陕西,0,381,3,368,0.79,96.59
10,云南,2,203,2,194,0.99,95.57
11,天津,0,234,3,225,1.28,96.15
12,广西,0,258,2,253,0.78,98.06
13,河北,0,365,6,356,1.64,97.53
14,江苏,0,665,0,663,0.00,99.70
15,辽宁,0,264,2,261,0.76,98.86
16,内蒙古,0,261,1,259,0.38,99.23
17,河南,0,1277,22,1254,1.72,98.20
18,重庆,0,584,6,577,1.03,98.80
19,山西,0,203,0,202,0.00,99.51
20,黑龙江,0,948,13,935,1.37,98.63
21,吉林,0,157,2,155,1.27,98.73
22,海南,0,171,6,165,3.51,96.49
23,澳门,0,46,0,46,0.00,100.00
24,甘肃,0,170,2,168,1.18,98.82
25,北京,0,935,9,926,0.96,99.04
26,青海,0,18,0,18,0.00,100.00
27,湖南,0,1019,4,1015,0.39,99.61
28,新疆,0,902,3,899,0.33,99.67
29,湖北,0,68139,4512,63627,6.62,93.38
30,宁夏,0,75,0,75,0.00,100.00
31,江西,0,935,1,934,0.11,99.89
32,贵州,0,147,2,145,1.36,98.64
33,西藏,0,1,0,1,0.00,100.00
34,安徽,0,991,6,985,0.61,99.39
