_id,省,新增确诊,累计确诊,死亡,治愈,死亡率,治愈率
1,北京,22,821,9,584,1.10,71.13
2,香港,1,1128,5,1077,0.44,95.48
3,上海,0,698,7,668,1.00,95.70
4,四川,0,589,3,570,0.51,96.77
5,河北,3,344,6,322,1.74,93.60
6,甘肃,0,151,2,137,1.32,90.73
7,广东,0,1634,8,1614,0.49,98.78
8,陕西,2,316,3,306,0.95,96.84
9,台湾,0,446,7,434,1.57,97.31
10,福建,1,363,1,357,0.28,98.35
11,辽宁,0,153,2,147,1.31,96.08
12,天津,0,197,3,191,1.52,96.95
13,重庆,0,582,6,573,1.03,98.45
14,海南,0,171,6,163,3.51,95.32
15,内蒙古,0,238,1,235,0.42,98.74
16,浙江,0,1269,1,1267,0.08,99.84
17,青海,0,18,0,18,0.00,100.00
18,新疆,0,76,3,73,3.95,96.05
19,宁夏,0,75,0,75,0.00,100.00
20,山东,0,792,7,785,0.88,99.12
21,山西,0,198,0,198,0.00,100.00
22,黑龙江,0,947,13,934,1.37,98.63
23,安徽,0,991,6,985,0.61,99.39
24,湖北,0,68135,4512,63623,6.62,93.38
25,江苏,0,653,0,653,0.00,100.00
26,河南,0,1276,22,1254,1.72,98.28
27,广西,0,254,2,252,0.79,99.21
28,澳门,0,45,0,45,0.00,100.00
29,云南,0,185,2,183,1.08,98.92
30,西藏,0,1,0,1,0.00,100.00
31,江西,0,932,1,931,0.11,99.89
32,吉林,0,155,2,153,1.29,98.71
33,贵州,0,147,2,145,1.36,98.64
34,湖南,0,1019,4,1015,0.39,99.61
