_id,省,新增确诊,累计确诊,死亡,治愈,死亡率,治愈率
1,湖北,13,67773,3046,49056,4.49,72.38
2,广东,0,1353,8,1282,0.59,94.75
3,河南,0,1272,22,1249,1.73,98.19
4,浙江,0,1215,1,1205,0.08,99.18
5,湖南,0,1018,4,995,0.39,97.74
6,安徽,0,990,6,984,0.61,99.39
7,江西,0,935,1,932,0.11,99.68
8,山东,1,759,6,721,0.79,94.99
9,江苏,0,631,0,627,0.00,99.37
10,重庆,0,576,6,547,1.04,94.97
11,四川,0,539,3,484,0.56,89.80
12,黑龙江,1,482,13,435,2.70,90.25
13,北京,6,435,8,326,1.84,74.94
14,上海,0,344,3,320,0.87,93.02
15,河北,0,318,6,307,1.89,96.54
16,福建,0,296,1,295,0.34,99.66
17,广西,0,252,2,237,0.79,94.05
18,陕西,0,245,1,229,0.41,93.47
19,云南,0,174,2,170,1.15,97.70
20,海南,0,168,6,159,3.57,94.64
21,贵州,0,146,2,133,1.37,91.10
22,天津,0,136,3,131,2.21,96.32
23,山西,0,133,0,131,0.00,98.50
24,香港,11,126,3,65,2.38,51.59
25,甘肃,0,125,2,88,1.60,70.40
26,辽宁,0,125,1,111,0.80,88.80
27,吉林,0,93,1,91,1.08,97.85
28,新疆,0,76,3,73,3.95,96.05
29,内蒙古,0,75,1,70,1.33,93.33
30,宁夏,0,75,0,71,0.00,94.67
31,台湾,3,48,1,17,2.08,35.42
32,青海,0,18,0,18,0.00,100.00
33,澳门,0,10,0,10,0.00,100.00
34,西藏,0,1,0,1,0.00,100.00
