_id,省,新增确诊,累计确诊,死亡,治愈,死亡率,治愈率
1,香港,58,1713,11,1264,0.64,73.79
2,北京,0,929,9,775,0.97,83.42
3,上海,0,733,7,699,0.95,95.36
4,新疆,16,93,3,73,3.23,78.49
5,广东,3,1657,8,1636,0.48,98.73
6,内蒙古,0,249,1,237,0.40,95.18
7,辽宁,0,164,2,152,1.22,92.68
8,台湾,2,454,7,440,1.54,96.92
9,天津,0,203,3,195,1.48,96.06
10,陕西,0,322,3,315,0.93,97.83
11,四川,0,599,3,592,0.50,98.83
12,山东,2,796,7,785,0.88,98.62
13,河北,0,349,6,340,1.72,97.42
14,云南,0,188,2,184,1.06,97.87
15,浙江,0,1270,1,1267,0.08,99.76
16,福建,1,364,1,361,0.27,99.18
17,广西,0,255,2,252,0.78,98.82
18,重庆,0,583,6,576,1.03,98.80
19,江苏,0,655,0,654,0.00,99.85
20,山西,0,201,0,200,0.00,99.50
21,江西,0,932,1,931,0.11,99.89
22,宁夏,0,75,0,75,0.00,100.00
23,吉林,0,155,2,153,1.29,98.71
24,澳门,0,46,0,46,0.00,100.00
25,湖北,0,68135,4512,63623,6.62,93.38
26,安徽,0,991,6,985,0.61,99.39
27,贵州,0,147,2,145,1.36,98.64
28,西藏,0,1,0,1,0.00,100.00
29,河南,0,1276,22,1254,1.72,98.28
30,湖南,0,1019,4,1015,0.39,99.61
31,海南,0,171,6,165,3.51,96.49
32,青海,0,18,0,18,0.00,100.00
33,甘肃,0,167,2,165,1.20,98.80
34,黑龙江,0,947,13,934,1.37,98.63
