_id,省,新增确诊,累计确诊,死亡,治愈,死亡率,治愈率
1,香港,9,4691,77,4052,1.64,86.38
2,新疆,0,902,3,739,0.33,81.93
3,上海,2,882,7,799,0.79,90.59
4,山东,0,831,7,798,0.84,96.03
5,台湾,0,487,7,457,1.44,93.84
6,广东,3,1730,8,1702,0.46,98.38
7,四川,4,635,3,615,0.47,96.85
8,陕西,0,362,3,345,0.83,95.30
9,天津,1,219,3,203,1.37,92.69
10,河北,1,360,6,343,1.67,95.28
11,福建,0,375,1,365,0.27,97.33
12,江苏,0,665,0,656,0.00,98.65
13,辽宁,0,261,2,250,0.77,95.79
14,浙江,0,1277,1,1268,0.08,99.30
15,云南,0,198,2,189,1.01,95.45
16,江西,0,935,1,931,0.11,99.57
17,北京,0,935,9,924,0.96,98.82
18,内蒙古,0,260,1,257,0.38,98.85
19,湖北,0,68139,4512,63626,6.62,93.38
20,山西,0,202,0,201,0.00,99.50
21,黑龙江,0,948,13,934,1.37,98.52
22,澳门,0,46,0,46,0.00,100.00
23,西藏,0,1,0,1,0.00,100.00
24,湖南,0,1019,4,1015,0.39,99.61
25,吉林,0,157,2,155,1.27,98.73
26,海南,0,171,6,165,3.51,96.49
27,安徽,0,991,6,985,0.61,99.39
28,贵州,0,147,2,145,1.36,98.64
29,广西,0,255,2,253,0.78,99.22
30,甘肃,0,169,2,167,1.18,98.82
31,重庆,0,583,6,577,1.03,98.97
32,青海,0,18,0,18,0.00,100.00
33,河南,0,1276,22,1254,1.72,98.28
34,宁夏,0,75,0,75,0.00,100.00
