_id,省,新增确诊,累计确诊,死亡,治愈,死亡率,治愈率
1,湖北,17,67760,3024,47585,4.46,70.23
2,广东,1,1353,8,1270,0.59,93.87
3,河南,0,1272,22,1247,1.73,98.03
4,浙江,0,1215,1,1190,0.08,97.94
5,湖南,0,1018,4,988,0.39,97.05
6,安徽,0,990,6,984,0.61,99.39
7,江西,0,935,1,927,0.11,99.14
8,山东,0,758,6,703,0.79,92.74
9,江苏,0,631,0,622,0.00,98.57
10,重庆,0,576,6,542,1.04,94.10
11,四川,0,539,3,470,0.56,87.20
12,黑龙江,0,481,13,434,2.70,90.23
13,北京,1,429,8,320,1.86,74.59
14,上海,0,342,3,315,0.88,92.11
15,河北,0,318,6,307,1.89,96.54
16,福建,0,296,1,295,0.34,99.66
17,广西,0,252,2,234,0.79,92.86
18,陕西,0,245,1,227,0.41,92.65
19,云南,0,174,2,170,1.15,97.70
20,海南,0,168,6,159,3.57,94.64
21,贵州,0,146,2,129,1.37,88.36
22,天津,0,136,3,130,2.21,95.59
23,山西,0,133,0,127,0.00,95.49
24,辽宁,0,125,1,110,0.80,88.00
25,甘肃,0,124,2,88,1.61,70.97
26,香港,1,115,3,60,2.61,52.17
27,吉林,0,93,1,91,1.08,97.85
28,新疆,0,76,3,73,3.95,96.05
29,宁夏,0,75,0,71,0.00,94.67
30,内蒙古,0,75,1,70,1.33,93.33
31,台湾,0,45,1,15,2.22,33.33
32,青海,0,18,0,18,0.00,100.00
33,澳门,0,10,0,10,0.00,100.00
34,西藏,0,1,0,1,0.00,100.00
