_id,省,新增确诊,累计确诊,死亡,治愈,死亡率,治愈率
1,香港,11,1000,4,336,0.40,33.60
2,湖北,0,67803,3219,64281,4.75,94.81
3,台湾,3,385,6,99,1.56,25.71
4,黑龙江,23,684,13,470,1.90,68.71
5,上海,52,607,7,446,1.15,73.48
6,北京,0,589,8,479,1.36,81.32
7,广东,4,1552,8,1443,0.52,92.98
8,内蒙古,0,155,1,83,0.65,53.55
9,山西,0,172,0,135,0.00,78.49
10,澳门,0,45,0,10,0.00,22.22
11,福建,1,352,1,321,0.28,91.19
12,浙江,0,1267,1,1238,0.08,97.71
13,山东,0,784,7,757,0.89,96.56
14,天津,0,183,3,161,1.64,87.98
15,江苏,1,653,0,638,0.00,97.70
16,四川,0,560,3,547,0.54,97.68
17,河北,0,327,6,313,1.83,95.72
18,云南,0,184,2,174,1.09,94.57
19,辽宁,0,145,2,136,1.38,93.79
20,陕西,0,256,3,248,1.17,96.88
21,重庆,0,579,6,570,1.04,98.45
22,甘肃,0,139,2,135,1.44,97.12
23,吉林,1,99,1,96,1.01,96.97
24,河南,0,1276,22,1253,1.72,98.20
25,湖南,0,1019,4,1014,0.39,99.51
26,安徽,0,991,6,984,0.61,99.29
27,贵州,0,147,2,144,1.36,97.96
28,海南,0,168,6,162,3.57,96.43
29,西藏,0,1,0,1,0.00,100.00
30,宁夏,0,75,0,75,0.00,100.00
31,新疆,0,76,3,73,3.95,96.05
32,青海,0,18,0,18,0.00,100.00
33,江西,0,937,1,936,0.11,99.89
34,广西,0,254,2,252,0.79,99.21
