_id,省,新增确诊,累计确诊,死亡,治愈,死亡率,治愈率
1,湖北,36,67743,3007,46433,4.44,68.54
2,广东,0,1352,8,1260,0.59,93.20
3,河南,0,1272,22,1247,1.73,98.03
4,浙江,0,1215,1,1182,0.08,97.28
5,湖南,0,1018,4,979,0.39,96.17
6,安徽,0,990,6,984,0.61,99.39
7,江西,0,935,1,923,0.11,98.72
8,山东,0,758,6,647,0.79,85.36
9,江苏,0,631,0,618,0.00,97.94
10,重庆,0,576,6,527,1.04,91.49
11,四川,0,539,3,465,0.56,86.27
12,黑龙江,0,481,13,421,2.70,87.53
13,北京,0,428,8,315,1.87,73.60
14,上海,0,342,3,315,0.88,92.11
15,河北,0,318,6,307,1.89,96.54
16,福建,0,296,1,295,0.34,99.66
17,广西,0,252,2,230,0.79,91.27
18,陕西,0,245,1,227,0.41,92.65
19,云南,0,174,2,170,1.15,97.70
20,海南,0,168,6,159,3.57,94.64
21,贵州,0,146,2,123,1.37,84.25
22,天津,0,136,3,129,2.21,94.85
23,山西,0,133,0,126,0.00,94.74
24,甘肃,4,128,2,87,1.56,67.97
25,辽宁,0,125,1,109,0.80,87.20
26,香港,5,114,3,59,2.63,51.75
27,吉林,0,93,1,90,1.08,96.77
28,新疆,0,76,3,73,3.95,96.05
29,内蒙古,0,75,1,70,1.33,93.33
30,宁夏,0,75,0,71,0.00,94.67
31,台湾,0,45,1,15,2.22,33.33
32,青海,0,18,0,18,0.00,100.00
33,澳门,0,10,0,10,0.00,100.00
34,西藏,0,1,0,1,0.00,100.00
