_id,省,新增确诊,累计确诊,死亡,治愈,死亡率,治愈率
1,香港,85,3754,43,2314,1.15,61.64
2,新疆,27,773,3,133,0.39,17.21
3,辽宁,3,258,2,161,0.78,62.40
4,台湾,0,476,7,441,1.47,92.65
5,上海,5,757,7,727,0.92,96.04
6,广东,0,1687,8,1661,0.47,98.46
7,山东,1,805,7,786,0.87,97.64
8,内蒙古,0,258,1,247,0.39,95.74
9,四川,0,610,3,598,0.49,98.03
10,北京,0,934,9,919,0.96,98.39
11,陕西,0,327,3,318,0.92,97.25
12,天津,0,205,3,197,1.46,96.10
13,江苏,0,658,0,654,0.00,99.39
14,湖北,0,68138,4512,63623,6.62,93.37
15,福建,0,367,1,363,0.27,98.91
16,云南,0,191,2,187,1.05,97.91
17,浙江,0,1270,1,1268,0.08,99.84
18,吉林,0,157,2,154,1.27,98.09
19,河南,0,1276,22,1254,1.72,98.28
20,青海,0,18,0,18,0.00,100.00
21,安徽,0,991,6,985,0.61,99.39
22,宁夏,0,75,0,75,0.00,100.00
23,贵州,0,147,2,145,1.36,98.64
24,甘肃,0,167,2,165,1.20,98.80
25,海南,0,171,6,165,3.51,96.49
26,西藏,0,1,0,1,0.00,100.00
27,重庆,0,583,6,577,1.03,98.97
28,山西,0,201,0,201,0.00,100.00
29,黑龙江,0,947,13,934,1.37,98.63
30,澳门,0,46,0,46,0.00,100.00
31,湖南,0,1019,4,1015,0.39,99.61
32,广西,0,255,2,253,0.78,99.22
33,江西,0,932,1,931,0.11,99.89
34,河北,0,349,6,343,1.72,98.28
