_id,省,新增确诊,累计确诊,死亡,治愈,死亡率,治愈率
1,北京,1,926,9,594,0.97,64.15
2,香港,5,1247,7,1125,0.56,90.22
3,上海,1,715,7,681,0.98,95.24
4,四川,0,595,3,581,0.50,97.65
5,甘肃,0,164,2,154,1.22,93.90
6,陕西,0,320,3,310,0.94,96.88
7,河北,0,349,6,336,1.72,96.28
8,广东,1,1643,8,1629,0.49,99.15
9,辽宁,0,156,2,149,1.28,95.51
10,台湾,1,449,7,438,1.56,97.55
11,重庆,0,582,6,574,1.03,98.63
12,福建,0,363,1,360,0.28,99.17
13,云南,0,186,2,183,1.08,98.39
14,江苏,0,654,0,653,0.00,99.85
15,浙江,0,1269,1,1267,0.08,99.84
16,澳门,0,46,0,45,0.00,97.83
17,天津,0,198,3,194,1.52,97.98
18,西藏,0,1,0,1,0.00,100.00
19,河南,0,1276,22,1254,1.72,98.28
20,江西,0,932,1,931,0.11,99.89
21,山东,0,792,7,785,0.88,99.12
22,新疆,0,76,3,73,3.95,96.05
23,宁夏,0,75,0,75,0.00,100.00
24,贵州,0,147,2,145,1.36,98.64
25,湖南,0,1019,4,1015,0.39,99.61
26,黑龙江,0,947,13,934,1.37,98.63
27,山西,0,198,0,198,0.00,100.00
28,安徽,0,991,6,985,0.61,99.39
29,广西,0,254,2,252,0.79,99.21
30,湖北,0,68135,4512,63623,6.62,93.38
31,吉林,0,155,2,153,1.29,98.71
32,青海,0,18,0,18,0.00,100.00
33,内蒙古,0,238,1,237,0.42,99.58
34,海南,0,171,6,165,3.51,96.49
