_id,省,新增确诊,累计确诊,死亡,治愈,死亡率,治愈率
1,香港,6,1099,4,1042,0.36,94.81
2,内蒙古,0,235,1,213,0.43,90.64
3,四川,1,578,3,558,0.52,96.54
4,上海,4,677,7,662,1.03,97.78
5,台湾,0,443,7,428,1.58,96.61
6,广东,0,1598,8,1584,0.50,99.12
7,山东,0,792,7,780,0.88,98.48
8,吉林,0,155,2,149,1.29,96.13
9,北京,0,594,9,583,1.52,98.15
10,陕西,0,309,3,305,0.97,98.71
11,海南,0,169,6,162,3.55,95.86
12,福建,0,358,1,356,0.28,99.44
13,宁夏,0,75,0,75,0.00,100.00
14,贵州,0,147,2,145,1.36,98.64
15,湖南,0,1019,4,1015,0.39,99.61
16,青海,0,18,0,18,0.00,100.00
17,天津,0,192,3,189,1.56,98.44
18,黑龙江,0,947,13,934,1.37,98.63
19,西藏,0,1,0,1,0.00,100.00
20,河南,0,1276,22,1254,1.72,98.28
21,重庆,0,579,6,573,1.04,98.96
22,辽宁,0,149,2,147,1.34,98.66
23,河北,0,328,6,322,1.83,98.17
24,山西,0,198,0,198,0.00,100.00
25,甘肃,0,139,2,137,1.44,98.56
26,湖北,0,68135,4512,63623,6.62,93.38
27,广西,0,254,2,252,0.79,99.21
28,浙江,0,1268,1,1267,0.08,99.92
29,云南,0,185,2,183,1.08,98.92
30,安徽,0,991,6,985,0.61,99.39
31,澳门,0,45,0,45,0.00,100.00
32,江西,0,932,1,931,0.11,99.89
33,新疆,0,76,3,73,3.95,96.05
34,江苏,0,653,0,653,0.00,100.00
