_id,省,新增确诊,累计确诊,死亡,治愈,死亡率,治愈率
1,香港,11,4889,98,4524,2.00,92.53
2,上海,0,922,7,872,0.76,94.58
3,广东,2,1769,8,1735,0.45,98.08
4,四川,5,663,3,637,0.45,96.08
5,天津,1,233,3,215,1.29,92.27
6,陕西,0,377,3,360,0.80,95.49
7,福建,1,387,1,372,0.26,96.12
8,山东,0,831,7,811,0.84,97.59
9,台湾,1,494,7,475,1.42,96.15
10,浙江,0,1278,1,1268,0.08,99.22
11,云南,0,201,2,193,1.00,96.02
12,河北,0,365,6,355,1.64,97.26
13,江苏,0,665,0,661,0.00,99.40
14,广西,0,257,2,253,0.78,98.44
15,山西,0,203,0,201,0.00,99.01
16,内蒙古,0,261,1,259,0.38,99.23
17,重庆,0,584,6,577,1.03,98.80
18,辽宁,0,263,2,260,0.76,98.86
19,甘肃,0,170,2,167,1.18,98.24
20,安徽,0,991,6,985,0.61,99.39
21,湖南,0,1019,4,1015,0.39,99.61
22,澳门,0,46,0,46,0.00,100.00
23,吉林,0,157,2,155,1.27,98.73
24,北京,0,935,9,926,0.96,99.04
25,西藏,0,1,0,1,0.00,100.00
26,贵州,0,147,2,145,1.36,98.64
27,湖北,0,68139,4512,63627,6.62,93.38
28,黑龙江,0,948,13,935,1.37,98.63
29,宁夏,0,75,0,75,0.00,100.00
30,海南,0,171,6,165,3.51,96.49
31,河南,0,1276,22,1254,1.72,98.28
32,新疆,0,902,3,899,0.33,99.67
33,江西,0,935,1,934,0.11,99.89
34,青海,0,18,0,18,0.00,100.00
