_id,省,新增确诊,累计确诊,死亡,治愈,死亡率,治愈率
1,香港,48,1569,8,1229,0.51,78.33
2,北京,0,929,9,729,0.97,78.47
3,上海,3,731,7,690,0.96,94.39
4,辽宁,0,164,2,150,1.22,91.46
5,内蒙古,0,249,1,237,0.40,95.18
6,四川,0,599,3,589,0.50,98.33
7,广东,0,1650,8,1636,0.48,99.15
8,天津,0,203,3,195,1.48,96.06
9,台湾,0,451,7,440,1.55,97.56
10,河北,0,349,6,340,1.72,97.42
11,云南,1,188,2,183,1.06,97.34
12,山西,1,201,0,198,0.00,98.51
13,陕西,0,321,3,315,0.93,98.13
14,浙江,0,1270,1,1267,0.08,99.76
15,福建,0,363,1,361,0.28,99.45
16,重庆,1,583,6,576,1.03,98.80
17,澳门,0,46,0,45,0.00,97.83
18,甘肃,0,167,2,164,1.20,98.20
19,山东,0,793,7,785,0.88,98.99
20,新疆,0,76,3,73,3.95,96.05
21,西藏,0,1,0,1,0.00,100.00
22,湖北,0,68135,4512,63623,6.62,93.38
23,海南,0,171,6,165,3.51,96.49
24,河南,0,1276,22,1254,1.72,98.28
25,青海,0,18,0,18,0.00,100.00
26,湖南,0,1019,4,1015,0.39,99.61
27,江西,0,932,1,931,0.11,99.89
28,吉林,0,155,2,153,1.29,98.71
29,安徽,0,991,6,985,0.61,99.39
30,贵州,0,147,2,145,1.36,98.64
31,黑龙江,0,947,13,934,1.37,98.63
32,宁夏,0,75,0,75,0.00,100.00
33,广西,0,254,2,252,0.79,99.21
34,江苏,0,654,0,654,0.00,100.00
