_id,省,新增确诊,累计确诊,死亡,治愈,死亡率,治愈率
1,香港,6,1093,4,1038,0.37,94.97
2,内蒙古,0,235,1,209,0.43,88.94
3,四川,0,577,3,558,0.52,96.71
4,台湾,0,443,7,427,1.58,96.39
5,吉林,0,155,2,147,1.29,94.84
6,广东,1,1597,8,1583,0.50,99.12
7,上海,0,673,7,661,1.04,98.22
8,山东,0,792,7,780,0.88,98.48
9,北京,0,594,9,582,1.52,97.98
10,湖北,0,68135,4512,63620,6.62,93.37
11,天津,0,192,3,188,1.56,97.92
12,海南,0,169,6,162,3.55,95.86
13,福建,0,358,1,356,0.28,99.44
14,陕西,0,309,3,305,0.97,98.71
15,澳门,0,45,0,45,0.00,100.00
16,安徽,0,991,6,985,0.61,99.39
17,贵州,0,147,2,145,1.36,98.64
18,江苏,0,653,0,653,0.00,100.00
19,浙江,0,1268,1,1267,0.08,99.92
20,青海,0,18,0,18,0.00,100.00
21,山西,0,198,0,198,0.00,100.00
22,河北,0,328,6,322,1.83,98.17
23,西藏,0,1,0,1,0.00,100.00
24,江西,0,937,1,936,0.11,99.89
25,宁夏,0,75,0,75,0.00,100.00
26,甘肃,0,139,2,137,1.44,98.56
27,广西,0,254,2,252,0.79,99.21
28,黑龙江,0,947,13,934,1.37,98.63
29,河南,0,1276,22,1254,1.72,98.28
30,湖南,0,1019,4,1015,0.39,99.61
31,重庆,0,579,6,573,1.04,98.96
32,辽宁,0,149,2,147,1.34,98.66
33,云南,0,185,2,183,1.08,98.92
34,新疆,0,76,3,73,3.95,96.05
