_id,省,新增确诊,累计确诊,死亡,治愈,死亡率,治愈率
1,香港,1,1109,4,1061,0.36,95.67
2,北京,36,637,9,584,1.41,91.68
3,广东,17,1625,8,1590,0.49,97.85
4,上海,1,691,7,666,1.01,96.38
5,四川,0,583,3,563,0.51,96.57
6,台湾,0,443,7,431,1.58,97.29
7,内蒙古,0,237,1,231,0.42,97.47
8,天津,0,196,3,189,1.53,96.43
9,福建,0,361,1,356,0.28,98.61
10,山东,0,792,7,782,0.88,98.74
11,海南,0,171,6,162,3.51,94.74
12,辽宁,2,151,2,147,1.32,97.35
13,陕西,0,311,3,306,0.96,98.39
14,重庆,1,580,6,573,1.03,98.79
15,贵州,0,147,2,145,1.36,98.64
16,湖北,0,68135,4512,63623,6.62,93.38
17,青海,0,18,0,18,0.00,100.00
18,新疆,0,76,3,73,3.95,96.05
19,宁夏,0,75,0,75,0.00,100.00
20,西藏,0,1,0,1,0.00,100.00
21,甘肃,0,139,2,137,1.44,98.56
22,广西,0,254,2,252,0.79,99.21
23,吉林,0,155,2,153,1.29,98.71
24,河南,0,1276,22,1254,1.72,98.28
25,澳门,0,45,0,45,0.00,100.00
26,河北,0,328,6,322,1.83,98.17
27,云南,0,185,2,183,1.08,98.92
28,黑龙江,0,947,13,934,1.37,98.63
29,山西,0,198,0,198,0.00,100.00
30,湖南,0,1019,4,1015,0.39,99.61
31,江西,0,932,1,931,0.11,99.89
32,浙江,0,1268,1,1267,0.08,99.92
33,安徽,0,991,6,985,0.61,99.39
34,江苏,0,653,0,653,0.00,100.00
