_id,省,新增确诊,累计确诊,死亡,治愈,死亡率,治愈率
1,北京,0,929,9,645,0.97,69.43
2,香港,24,1323,7,1167,0.53,88.21
3,上海,3,721,7,689,0.97,95.56
4,四川,1,599,3,582,0.50,97.16
5,辽宁,3,162,2,150,1.23,92.59
6,广东,2,1647,8,1631,0.49,99.03
7,内蒙古,0,244,1,237,0.41,97.13
8,台湾,0,449,7,438,1.56,97.55
9,陕西,0,321,3,314,0.93,97.82
10,河北,0,349,6,339,1.72,97.13
11,甘肃,0,167,2,162,1.20,97.01
12,云南,0,187,2,183,1.07,97.86
13,福建,0,363,1,360,0.28,99.17
14,山西,0,199,0,198,0.00,99.50
15,浙江,0,1269,1,1267,0.08,99.84
16,澳门,0,46,0,45,0.00,97.83
17,重庆,0,582,6,575,1.03,98.80
18,天津,0,199,3,195,1.51,97.99
19,江苏,0,654,0,654,0.00,100.00
20,吉林,0,155,2,153,1.29,98.71
21,安徽,0,991,6,985,0.61,99.39
22,黑龙江,0,947,13,934,1.37,98.63
23,山东,0,792,7,785,0.88,99.12
24,江西,0,932,1,931,0.11,99.89
25,广西,0,254,2,252,0.79,99.21
26,青海,0,18,0,18,0.00,100.00
27,西藏,0,1,0,1,0.00,100.00
28,宁夏,0,75,0,75,0.00,100.00
29,新疆,0,76,3,73,3.95,96.05
30,海南,0,171,6,165,3.51,96.49
31,湖北,0,68135,4512,63623,6.62,93.38
32,贵州,0,147,2,145,1.36,98.64
33,湖南,0,1019,4,1015,0.39,99.61
34,河南,0,1276,22,1254,1.72,98.28
