_id,省,新增确诊,累计确诊,死亡,治愈,死亡率,治愈率
1,香港,0,1107,4,1051,0.36,94.94
2,四川,0,582,3,560,0.52,96.22
3,上海,6,684,7,665,1.02,97.22
4,广东,3,1607,8,1588,0.50,98.82
5,内蒙古,0,237,1,230,0.42,97.05
6,台湾,0,443,7,431,1.58,97.29
7,山东,0,792,7,781,0.88,98.61
8,福建,1,360,1,356,0.28,98.89
9,天津,0,195,3,189,1.54,96.92
10,陕西,0,311,3,306,0.96,98.39
11,海南,0,169,6,162,3.55,95.86
12,北京,0,594,9,584,1.52,98.32
13,江苏,0,653,0,653,0.00,100.00
14,宁夏,0,75,0,75,0.00,100.00
15,广西,0,254,2,252,0.79,99.21
16,河南,0,1276,22,1254,1.72,98.28
17,湖北,0,68135,4512,63623,6.62,93.38
18,湖南,0,1019,4,1015,0.39,99.61
19,安徽,0,991,6,985,0.61,99.39
20,青海,0,18,0,18,0.00,100.00
21,澳门,0,45,0,45,0.00,100.00
22,云南,0,185,2,183,1.08,98.92
23,山西,0,198,0,198,0.00,100.00
24,江西,0,932,1,931,0.11,99.89
25,西藏,0,1,0,1,0.00,100.00
26,吉林,0,155,2,153,1.29,98.71
27,辽宁,0,149,2,147,1.34,98.66
28,重庆,0,579,6,573,1.04,98.96
29,贵州,0,147,2,145,1.36,98.64
30,河北,0,328,6,322,1.83,98.17
31,浙江,0,1268,1,1267,0.08,99.92
32,甘肃,0,139,2,137,1.44,98.56
33,新疆,0,76,3,73,3.95,96.05
34,黑龙江,0,947,13,934,1.37,98.63
