_id,省,新增确诊,累计确诊,死亡,治愈,死亡率,治愈率
1,湖北,0,67800,3144,59432,4.64,87.66
2,香港,17,273,4,100,1.47,36.63
3,台湾,18,153,2,28,1.31,18.30
4,北京,15,514,8,400,1.56,77.82
5,广东,8,1407,8,1329,0.57,94.46
6,上海,14,394,4,328,1.02,83.25
7,甘肃,0,134,2,113,1.49,84.33
8,浙江,1,1237,1,1219,0.08,98.54
9,福建,4,307,1,295,0.33,96.09
10,澳门,2,19,0,10,0.00,52.63
11,山东,2,766,7,750,0.91,97.91
12,陕西,0,248,3,239,1.21,96.37
13,黑龙江,0,484,13,465,2.69,96.07
14,四川,1,543,3,536,0.55,98.71
15,河北,1,319,6,310,1.88,97.18
16,云南,0,176,2,172,1.14,97.73
17,辽宁,0,126,2,122,1.59,96.83
18,江苏,2,633,0,631,0.00,99.68
19,广西,0,254,2,250,0.79,98.43
20,天津,0,137,3,133,2.19,97.08
21,江西,1,936,1,934,0.11,99.79
22,海南,0,168,6,161,3.57,95.83
23,河南,0,1273,22,1250,1.73,98.19
24,湖南,0,1018,4,1014,0.39,99.61
25,西藏,0,1,0,1,0.00,100.00
26,宁夏,0,75,0,75,0.00,100.00
27,重庆,0,576,6,570,1.04,98.96
28,青海,0,18,0,18,0.00,100.00
29,安徽,0,990,6,984,0.61,99.39
30,贵州,0,146,2,144,1.37,98.63
31,内蒙古,0,75,1,74,1.33,98.67
32,吉林,0,93,1,92,1.08,98.92
33,新疆,0,76,3,73,3.95,96.05
34,山西,0,133,0,133,0.00,100.00
