_id,省,新增确诊,累计确诊,死亡,治愈,死亡率,治愈率
1,香港,28,890,4,206,0.45,23.15
2,湖北,0,67803,3212,64014,4.74,94.41
3,台湾,8,363,5,54,1.38,14.88
4,上海,5,536,6,389,1.12,72.57
5,北京,1,587,8,443,1.36,75.47
6,广东,8,1532,8,1395,0.52,91.06
7,福建,0,350,1,305,0.29,87.14
8,内蒙古,1,118,1,74,0.85,62.71
9,黑龙江,20,524,13,469,2.48,89.50
10,澳门,0,44,0,10,0.00,22.73
11,浙江,1,1264,1,1230,0.08,97.31
12,天津,0,180,3,144,1.67,80.00
13,江苏,0,651,0,633,0.00,97.24
14,山东,1,780,7,755,0.90,96.79
15,四川,1,559,3,540,0.54,96.60
16,辽宁,0,142,2,128,1.41,90.14
17,河北,0,327,6,310,1.83,94.80
18,云南,0,184,2,172,1.09,93.48
19,陕西,0,256,3,246,1.17,96.09
20,吉林,0,98,1,92,1.02,93.88
21,山西,0,138,0,133,0.00,96.38
22,甘肃,0,139,2,132,1.44,94.96
23,重庆,0,579,6,570,1.04,98.45
24,河南,0,1276,22,1252,1.72,98.12
25,江西,0,937,1,935,0.11,99.79
26,贵州,0,147,2,144,1.36,97.96
27,湖南,0,1019,4,1014,0.39,99.51
28,宁夏,0,75,0,75,0.00,100.00
29,西藏,0,1,0,1,0.00,100.00
30,海南,0,168,6,162,3.57,96.43
31,青海,0,18,0,18,0.00,100.00
32,广西,0,254,2,252,0.79,99.21
33,新疆,0,76,3,73,3.95,96.05
34,安徽,0,990,6,984,0.61,99.39
