_id,省,新增确诊,累计确诊,死亡,治愈,死亡率,治愈率
1,北京,27,700,9,584,1.29,83.43
2,香港,3,1112,4,1067,0.36,95.95
3,广东,3,1628,8,1592,0.49,97.79
4,四川,1,588,3,564,0.51,95.92
5,上海,3,695,7,667,1.01,95.97
6,河北,4,335,6,322,1.79,96.12
7,台湾,2,445,7,433,1.57,97.30
8,福建,0,362,1,356,0.28,98.34
9,陕西,0,313,3,306,0.96,97.76
10,天津,0,196,3,189,1.53,96.43
11,内蒙古,1,238,1,234,0.42,98.32
12,重庆,0,582,6,573,1.03,98.45
13,辽宁,1,152,2,147,1.32,96.71
14,山东,0,792,7,783,0.88,98.86
15,海南,0,171,6,163,3.51,95.32
16,河南,0,1276,22,1254,1.72,98.28
17,湖南,0,1019,4,1015,0.39,99.61
18,江苏,0,653,0,653,0.00,100.00
19,吉林,0,155,2,153,1.29,98.71
20,新疆,0,76,3,73,3.95,96.05
21,黑龙江,0,947,13,934,1.37,98.63
22,甘肃,0,139,2,137,1.44,98.56
23,广西,0,254,2,252,0.79,99.21
24,江西,0,932,1,931,0.11,99.89
25,浙江,0,1268,1,1267,0.08,99.92
26,宁夏,0,75,0,75,0.00,100.00
27,安徽,0,991,6,985,0.61,99.39
28,西藏,0,1,0,1,0.00,100.00
29,湖北,0,68135,4512,63623,6.62,93.38
30,青海,0,18,0,18,0.00,100.00
31,澳门,0,45,0,45,0.00,100.00
32,山西,0,198,0,198,0.00,100.00
33,云南,0,185,2,183,1.08,98.92
34,贵州,0,147,2,145,1.36,98.64
