_id,省,新增确诊,累计确诊,死亡,治愈,死亡率,治愈率
1,湖北,1,67799,3111,55987,4.59,82.58
2,广东,3,1364,8,1307,0.59,95.82
3,河南,0,1273,22,1250,1.73,98.19
4,浙江,1,1232,1,1216,0.08,98.70
5,湖南,0,1018,4,1014,0.39,99.61
6,安徽,0,990,6,984,0.61,99.39
7,江西,0,935,1,934,0.11,99.89
8,山东,1,761,7,746,0.92,98.03
9,江苏,0,631,0,631,0.00,100.00
10,重庆,0,576,6,570,1.04,98.96
11,四川,0,539,3,520,0.56,96.47
12,黑龙江,0,482,13,456,2.70,94.61
13,北京,9,455,8,368,1.76,80.88
14,上海,3,358,3,325,0.84,90.78
15,河北,0,318,6,310,1.89,97.48
16,福建,0,296,1,295,0.34,99.66
17,广西,1,253,2,248,0.79,98.02
18,陕西,1,246,3,233,1.22,94.72
19,云南,1,176,2,172,1.14,97.73
20,海南,0,168,6,161,3.57,95.83
21,香港,9,157,4,88,2.55,56.05
22,贵州,0,146,2,144,1.37,98.63
23,天津,0,136,3,133,2.21,97.79
24,山西,0,133,0,133,0.00,100.00
25,甘肃,0,133,2,91,1.50,68.42
26,辽宁,0,125,1,119,0.80,95.20
27,吉林,0,93,1,92,1.08,98.92
28,新疆,0,76,3,73,3.95,96.05
29,内蒙古,0,75,1,73,1.33,97.33
30,宁夏,0,75,0,75,0.00,100.00
31,台湾,8,67,1,22,1.49,32.84
32,青海,0,18,0,18,0.00,100.00
33,澳门,1,11,0,10,0.00,90.91
34,西藏,0,1,0,1,0.00,100.00
