_id,省,新增确诊,累计确诊,死亡,治愈,死亡率,治愈率
1,香港,0,1065,4,1029,0.38,96.62
2,吉林,1,155,2,128,1.29,82.58
3,台湾,0,441,7,411,1.59,93.20
4,内蒙古,0,217,1,199,0.46,91.71
5,上海,1,668,7,647,1.05,96.86
6,湖北,0,68135,4512,63616,6.62,93.37
7,广东,1,1592,8,1580,0.50,99.25
8,辽宁,0,149,2,144,1.34,96.64
9,北京,0,593,9,581,1.52,97.98
10,天津,0,192,3,187,1.56,97.40
11,四川,0,563,3,558,0.53,99.11
12,山东,0,788,7,780,0.89,98.98
13,海南,0,169,6,162,3.55,95.86
14,河北,0,328,6,322,1.83,98.17
15,浙江,0,1268,1,1267,0.08,99.92
16,福建,0,356,1,355,0.28,99.72
17,广西,0,254,2,252,0.79,99.21
18,青海,0,18,0,18,0.00,100.00
19,宁夏,0,75,0,75,0.00,100.00
20,河南,0,1276,22,1254,1.72,98.28
21,黑龙江,0,945,13,932,1.38,98.62
22,西藏,0,1,0,1,0.00,100.00
23,安徽,0,991,6,985,0.61,99.39
24,湖南,0,1019,4,1015,0.39,99.61
25,甘肃,0,139,2,137,1.44,98.56
26,新疆,0,76,3,73,3.95,96.05
27,重庆,0,579,6,573,1.04,98.96
28,山西,0,198,0,198,0.00,100.00
29,江西,0,937,1,936,0.11,99.89
30,陕西,0,308,3,305,0.97,99.03
31,云南,0,185,2,183,1.08,98.92
32,澳门,0,45,0,45,0.00,100.00
33,江苏,0,653,0,653,0.00,100.00
34,贵州,0,147,2,145,1.36,98.64
