_id,省,新增确诊,累计确诊,死亡,治愈,死亡率,治愈率
1,湖北,0,67801,3187,63153,4.70,93.14
2,香港,41,682,4,124,0.59,18.18
3,台湾,8,306,5,39,1.63,12.75
4,上海,11,509,5,338,0.98,66.40
5,北京,3,580,8,418,1.38,72.07
6,广东,6,1490,8,1353,0.54,90.81
7,福建,3,343,1,295,0.29,86.01
8,天津,8,174,3,133,1.72,76.44
9,内蒙古,10,107,1,74,0.93,69.16
10,浙江,2,1257,1,1226,0.08,97.53
11,澳门,1,39,0,10,0.00,25.64
12,江苏,1,646,0,631,0.00,97.68
13,山东,1,774,7,753,0.90,97.29
14,辽宁,3,139,2,124,1.44,89.21
15,四川,0,550,3,536,0.55,97.45
16,甘肃,0,138,2,125,1.45,90.58
17,陕西,0,253,3,242,1.19,95.65
18,云南,1,181,2,172,1.10,95.03
19,吉林,0,98,1,92,1.02,93.88
20,河北,0,321,6,310,1.87,96.57
21,重庆,0,579,6,570,1.04,98.45
22,山西,0,136,0,133,0.00,97.79
23,河南,0,1276,22,1251,1.72,98.04
24,广西,0,254,2,250,0.79,98.43
25,黑龙江,0,484,13,469,2.69,96.90
26,江西,0,937,1,935,0.11,99.79
27,贵州,0,147,2,144,1.36,97.96
28,海南,0,168,6,162,3.57,96.43
29,安徽,0,990,6,984,0.61,99.39
30,青海,0,18,0,18,0.00,100.00
31,宁夏,0,75,0,75,0.00,100.00
32,西藏,0,1,0,1,0.00,100.00
33,新疆,0,76,3,73,3.95,96.05
34,湖南,0,1018,4,1014,0.39,99.61
