_id,省,新增确诊,累计确诊,死亡,治愈,死亡率,治愈率
1,北京,1,929,9,596,0.97,64.16
2,香港,10,1268,7,1156,0.55,91.17
3,上海,0,716,7,685,0.98,95.67
4,四川,0,596,3,581,0.50,97.48
5,甘肃,0,167,2,154,1.20,92.22
6,河北,0,349,6,337,1.72,96.56
7,辽宁,1,157,2,150,1.27,95.54
8,陕西,1,321,3,313,0.93,97.51
9,广东,0,1643,8,1631,0.49,99.27
10,台湾,0,449,7,438,1.56,97.55
11,福建,0,363,1,360,0.28,99.17
12,重庆,0,582,6,574,1.03,98.63
13,天津,0,199,3,194,1.51,97.49
14,澳门,0,46,0,45,0.00,97.83
15,江苏,0,654,0,653,0.00,99.85
16,内蒙古,1,239,1,237,0.42,99.16
17,浙江,0,1269,1,1267,0.08,99.84
18,云南,0,186,2,183,1.08,98.39
19,广西,0,254,2,252,0.79,99.21
20,宁夏,0,75,0,75,0.00,100.00
21,西藏,0,1,0,1,0.00,100.00
22,河南,0,1276,22,1254,1.72,98.28
23,山西,0,198,0,198,0.00,100.00
24,海南,0,171,6,165,3.51,96.49
25,山东,0,792,7,785,0.88,99.12
26,青海,0,18,0,18,0.00,100.00
27,贵州,0,147,2,145,1.36,98.64
28,安徽,0,991,6,985,0.61,99.39
29,湖北,0,68135,4512,63623,6.62,93.38
30,吉林,0,155,2,153,1.29,98.71
31,黑龙江,0,947,13,934,1.37,98.63
32,湖南,0,1019,4,1015,0.39,99.61
33,新疆,0,76,3,73,3.95,96.05
34,江西,0,932,1,931,0.11,99.89
