_id,省,新增确诊,累计确诊,死亡,治愈,死亡率,治愈率
1,香港,27,4631,75,3900,1.62,84.22
2,新疆,0,902,3,672,0.33,74.50
3,上海,13,875,7,783,0.80,89.49
4,山东,3,830,7,795,0.84,95.78
5,台湾,1,487,7,457,1.44,93.84
6,广东,0,1725,8,1696,0.46,98.32
7,陕西,0,358,3,339,0.84,94.69
8,辽宁,0,261,2,245,0.77,93.87
9,四川,0,628,3,611,0.48,97.29
10,天津,0,216,3,202,1.39,93.52
11,江苏,0,665,0,656,0.00,98.65
12,浙江,0,1277,1,1268,0.08,99.30
13,福建,1,371,1,365,0.27,98.38
14,河北,3,354,6,343,1.69,96.89
15,云南,0,195,2,189,1.03,96.92
16,江西,0,935,1,931,0.11,99.57
17,北京,0,935,9,924,0.96,98.82
18,内蒙古,0,260,1,257,0.38,98.85
19,湖北,0,68139,4512,63626,6.62,93.38
20,黑龙江,0,948,13,934,1.37,98.52
21,安徽,0,991,6,985,0.61,99.39
22,海南,0,171,6,165,3.51,96.49
23,澳门,0,46,0,46,0.00,100.00
24,河南,0,1276,22,1254,1.72,98.28
25,吉林,0,157,2,155,1.27,98.73
26,西藏,0,1,0,1,0.00,100.00
27,甘肃,0,169,2,167,1.18,98.82
28,重庆,0,583,6,577,1.03,98.97
29,山西,0,201,0,201,0.00,100.00
30,湖南,0,1019,4,1015,0.39,99.61
31,广西,0,255,2,253,0.78,99.22
32,青海,0,18,0,18,0.00,100.00
33,宁夏,0,75,0,75,0.00,100.00
34,贵州,0,147,2,145,1.36,98.64
