_id,省,新增确诊,累计确诊,死亡,治愈,死亡率,治愈率
1,香港,13,4768,84,4249,1.76,89.11
2,新疆,0,902,3,825,0.33,91.46
3,上海,3,894,7,826,0.78,92.39
4,四川,2,650,3,622,0.46,95.69
5,台湾,0,487,7,462,1.44,94.87
6,山东,0,831,7,806,0.84,96.99
7,河北,0,362,6,343,1.66,94.75
8,广东,2,1737,8,1716,0.46,98.79
9,天津,0,220,3,205,1.36,93.18
10,福建,2,378,1,366,0.26,96.83
11,浙江,0,1277,1,1268,0.08,99.30
12,江苏,0,665,0,657,0.00,98.80
13,陕西,0,364,3,353,0.82,96.98
14,云南,0,199,2,191,1.01,95.98
15,辽宁,0,262,2,258,0.76,98.47
16,内蒙古,0,260,1,257,0.38,98.85
17,湖北,0,68139,4512,63626,6.62,93.38
18,黑龙江,0,948,13,934,1.37,98.52
19,山西,0,202,0,201,0.00,99.50
20,吉林,0,157,2,155,1.27,98.73
21,青海,0,18,0,18,0.00,100.00
22,湖南,0,1019,4,1015,0.39,99.61
23,海南,0,171,6,165,3.51,96.49
24,江西,0,935,1,934,0.11,99.89
25,重庆,0,583,6,577,1.03,98.97
26,广西,0,255,2,253,0.78,99.22
27,澳门,0,46,0,46,0.00,100.00
28,宁夏,0,75,0,75,0.00,100.00
29,安徽,0,991,6,985,0.61,99.39
30,西藏,0,1,0,1,0.00,100.00
31,北京,0,935,9,926,0.96,99.04
32,河南,0,1276,22,1254,1.72,98.28
33,甘肃,0,169,2,167,1.18,98.82
34,贵州,0,147,2,145,1.36,98.64
