_id,省,新增确诊,累计确诊,死亡,治愈,死亡率,治愈率
1,湖北,0,67800,3132,58381,4.62,86.11
2,广东,14,1392,8,1322,0.57,94.97
3,河南,0,1273,22,1250,1.73,98.19
4,浙江,1,1234,1,1219,0.08,98.78
5,湖南,0,1018,4,1014,0.39,99.61
6,安徽,0,990,6,984,0.61,99.39
7,江西,0,935,1,934,0.11,99.89
8,山东,1,762,7,748,0.92,98.16
9,江苏,0,631,0,631,0.00,100.00
10,重庆,0,576,6,570,1.04,98.96
11,四川,1,541,3,536,0.55,99.08
12,北京,11,491,8,390,1.63,79.43
13,黑龙江,1,484,13,463,2.69,95.66
14,上海,8,371,3,326,0.81,87.87
15,河北,0,318,6,310,1.89,97.48
16,福建,3,299,1,295,0.33,98.66
17,广西,1,254,2,250,0.79,98.43
18,陕西,1,247,3,237,1.21,95.95
19,香港,16,208,4,98,1.92,47.12
20,云南,0,176,2,172,1.14,97.73
21,海南,0,168,6,161,3.57,95.83
22,贵州,0,146,2,144,1.37,98.63
23,天津,1,137,3,133,2.19,97.08
24,甘肃,1,134,2,98,1.49,73.13
25,山西,0,133,0,133,0.00,100.00
26,辽宁,1,126,2,122,1.59,96.83
27,台湾,8,108,1,26,0.93,24.07
28,吉林,0,93,1,92,1.08,98.92
29,新疆,0,76,3,73,3.95,96.05
30,内蒙古,0,75,1,74,1.33,98.67
31,宁夏,0,75,0,75,0.00,100.00
32,青海,0,18,0,18,0.00,100.00
33,澳门,2,17,0,10,0.00,58.82
34,西藏,0,1,0,1,0.00,100.00
