_id,省,新增确诊,累计确诊,死亡,治愈,死亡率,治愈率
1,香港,108,1885,12,1294,0.64,68.65
2,北京,0,929,9,804,0.97,86.54
3,新疆,17,123,3,73,2.44,59.35
4,上海,0,733,7,706,0.95,96.32
5,广东,0,1659,8,1637,0.48,98.67
6,内蒙古,1,250,1,237,0.40,94.80
7,辽宁,0,164,2,154,1.22,93.90
8,台湾,1,455,7,440,1.54,96.70
9,四川,3,602,3,592,0.50,98.34
10,山东,1,798,7,785,0.88,98.37
11,天津,0,203,3,195,1.48,96.06
12,陕西,0,322,3,316,0.93,98.14
13,浙江,0,1270,1,1267,0.08,99.76
14,云南,0,188,2,184,1.06,97.87
15,福建,0,364,1,361,0.27,99.18
16,河北,0,349,6,341,1.72,97.71
17,广西,0,255,2,252,0.78,98.82
18,重庆,0,583,6,576,1.03,98.80
19,山西,0,201,0,200,0.00,99.50
20,江苏,0,655,0,654,0.00,99.85
21,湖北,0,68135,4512,63623,6.62,93.38
22,甘肃,0,167,2,165,1.20,98.80
23,海南,0,171,6,165,3.51,96.49
24,河南,0,1276,22,1254,1.72,98.28
25,青海,0,18,0,18,0.00,100.00
26,湖南,0,1019,4,1015,0.39,99.61
27,黑龙江,0,947,13,934,1.37,98.63
28,江西,0,932,1,931,0.11,99.89
29,贵州,0,147,2,145,1.36,98.64
30,宁夏,0,75,0,75,0.00,100.00
31,澳门,0,46,0,46,0.00,100.00
32,吉林,0,155,2,153,1.29,98.71
33,安徽,0,991,6,985,0.61,99.39
34,西藏,0,1,0,1,0.00,100.00
